file_name,raw_sha256,test_id,thickness_mm,display_label,role,acquisition_campaign,is_cross_batch_proxy,n_cell,ce_threshold_pct,last_passing_commanded_areal_mAh_cm2,last_passing_median_delivered_areal_mAh_cm2,last_passing_median_ce_pct,last_passing_n_cycle,last_passing_repeat_block_complete,first_failing_commanded_areal_mAh_cm2,first_failing_median_delivered_areal_mAh_cm2,first_failing_median_ce_pct,first_failing_n_cycle,first_failing_repeat_block_complete,endpoint_right_censored
1.5MM_CCCCCCCCC_127.0.0.1-BTS82-56-5-4-2818581125.ndax,7B2613BB9C2AB558E4F2D7B0CBADC8CF990862AD29F1F080C1C53EE46282C1A8,2818581125,1.5,1.5 mm,explicit_thickness_cell,2025-03 explicit-thickness campaign,False,1,80,60,57.26248056,95.4370358,4,True,80,62.16829444,77.71035187,1,False,False
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,2818581087,2,2.0 mm proxy,implicit_standard_thickness_cross_batch_proxy,2024-12 standard-baseline campaign,True,1,80,100,95.27132222,95.27096768,4,True,120,88.76815556,73.97278829,4,True,False
2. 5MM_CCCCC_127.0.0.1-BTS82-56-5-4-2818581120.ndax,8AED975D88762458C12D1B458C819242C51907B8845440B37DE45117D0879CD1,2818581120,2.5,2.5 mm,explicit_thickness_cell,2025-03 explicit-thickness campaign,False,1,80,100,85.95619444,85.95578601,4,True,120,79.84937222,66.54073749,4,True,False
3mm_pos_pri-ccccc_127.0.0.1-BTS82-56-5-4-2818581110.ndax,8385538195041F7D3636E47DFFD5EE9BE870FD2925115B53A392C1CDBEDD4AE2,2818581110,3,3.0 mm,explicit_thickness_cell,2025-03 explicit-thickness campaign,False,1,80,140,135.5105056,96.79294195,4,True,160,121.6229889,76.01408332,4,True,False
1.5MM_CCCCCCCCC_127.0.0.1-BTS82-56-5-4-2818581125.ndax,7B2613BB9C2AB558E4F2D7B0CBADC8CF990862AD29F1F080C1C53EE46282C1A8,2818581125,1.5,1.5 mm,explicit_thickness_cell,2025-03 explicit-thickness campaign,False,1,85,60,57.26248056,95.4370358,4,True,80,62.16829444,77.71035187,1,False,False
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,2818581087,2,2.0 mm proxy,implicit_standard_thickness_cross_batch_proxy,2024-12 standard-baseline campaign,True,1,85,100,95.27132222,95.27096768,4,True,120,88.76815556,73.97278829,4,True,False
2. 5MM_CCCCC_127.0.0.1-BTS82-56-5-4-2818581120.ndax,8AED975D88762458C12D1B458C819242C51907B8845440B37DE45117D0879CD1,2818581120,2.5,2.5 mm,explicit_thickness_cell,2025-03 explicit-thickness campaign,False,1,85,100,85.95619444,85.95578601,4,True,120,79.84937222,66.54073749,4,True,False
3mm_pos_pri-ccccc_127.0.0.1-BTS82-56-5-4-2818581110.ndax,8385538195041F7D3636E47DFFD5EE9BE870FD2925115B53A392C1CDBEDD4AE2,2818581110,3,3.0 mm,explicit_thickness_cell,2025-03 explicit-thickness campaign,False,1,85,140,135.5105056,96.79294195,4,True,160,121.6229889,76.01408332,4,True,False
1.5MM_CCCCCCCCC_127.0.0.1-BTS82-56-5-4-2818581125.ndax,7B2613BB9C2AB558E4F2D7B0CBADC8CF990862AD29F1F080C1C53EE46282C1A8,2818581125,1.5,1.5 mm,explicit_thickness_cell,2025-03 explicit-thickness campaign,False,1,90,60,57.26248056,95.4370358,4,True,80,62.16829444,77.71035187,1,False,False
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,2818581087,2,2.0 mm proxy,implicit_standard_thickness_cross_batch_proxy,2024-12 standard-baseline campaign,True,1,90,100,95.27132222,95.27096768,4,True,120,88.76815556,73.97278829,4,True,False
2. 5MM_CCCCC_127.0.0.1-BTS82-56-5-4-2818581120.ndax,8AED975D88762458C12D1B458C819242C51907B8845440B37DE45117D0879CD1,2818581120,2.5,2.5 mm,explicit_thickness_cell,2025-03 explicit-thickness campaign,False,1,90,80,77.65437222,97.06693399,4,True,100,85.95619444,85.95578601,4,True,False
3mm_pos_pri-ccccc_127.0.0.1-BTS82-56-5-4-2818581110.ndax,8385538195041F7D3636E47DFFD5EE9BE870FD2925115B53A392C1CDBEDD4AE2,2818581110,3,3.0 mm,explicit_thickness_cell,2025-03 explicit-thickness campaign,False,1,90,140,135.5105056,96.79294195,4,True,160,121.6229889,76.01408332,4,True,False
