case_id,time_s,q_mAh_cm2,voltage_V,S_direct,S_reconstructed,cI2_surf_free_avg_mol_m3,cI2_surf_tot_avg_mol_m3,beta_surf_avg,cI_minus_surf_avg_mol_m3,eps_s_avg,eps_s_reg_avg,theta_avg,A_bare_avg,K_perm_rel_avg,D_rel_avg,eps_l_eff_avg,Rfilm_avg_ohm_m2,R_precip_avg,R_diss_avg
matched_control,0,0,1.40071739838,0.185496680423,0.185496680423,0.0822368616541,103.839516293,1262.70664481,1688.48145112,0,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,0,1.71015216279e-14,0
matched_control,10,0.111111111111,1.40063989366,0.18667394183,0.18667394183,0.0827587808779,104.392301989,1261.5126277,1686.82309403,1.04384823703e-18,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,4.34938070242e-11,1.71266868057e-14,2.32991556986e-24
matched_control,20,0.222222222222,1.40063730851,0.187416622714,0.187416622714,0.08308803607,104.743336982,1260.75439212,1685.76998906,7.13825093803e-18,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,2.97428014701e-10,1.7142400261e-14,1.59217612477e-23
matched_control,30,0.333333333333,1.40063686564,0.188101323021,0.188101323021,0.0833915865393,105.068044942,1260.05302292,1684.79586517,1.14315659514e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,4.76316676925e-10,1.71568047039e-14,2.54742752021e-23
matched_control,40,0.444444444444,1.40062734314,0.188779195192,0.188779195192,0.0836921098685,105.389778268,1259.35807894,1683.8306652,1.2451618256e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.18818983789e-10,1.71710427918e-14,2.77227372782e-23
matched_control,50,0.555555555556,1.40061868142,0.189457156482,0.189457156482,0.0839926727071,105.710597695,1258.66510898,1682.86820692,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.71853519558e-14,2.72591120054e-23
matched_control,60,0.666666666667,1.40061338655,0.190137760069,0.190137760069,0.0842944069638,106.031899919,1257.97109618,1681.90430024,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.71997720066e-14,2.72363618585e-23
matched_control,70,0.777777777778,1.40060809168,0.190819124058,0.190819124058,0.0845964783324,106.353202143,1257.27708337,1680.94039357,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.72142327228e-14,2.72135865203e-23
matched_control,80,0.888888888889,1.4006027968,0.191501249744,0.191501249744,0.0848988873865,106.674504367,1256.58307057,1679.9764869,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.72287342793e-14,2.71907859487e-23
matched_control,90,1,1.40059723539,0.192184030254,0.192184030254,0.085201586746,106.995756222,1255.88916656,1679.01273133,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.72432745316e-14,2.71679263502e-23
matched_control,100,1.11111111111,1.40059115328,0.192867357796,0.192867357796,0.0855045286231,107.316909677,1255.1954751,1678.04927097,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.72578511075e-14,2.71449754702e-23
matched_control,110,1.22222222222,1.40058507117,0.193551442018,0.193551442018,0.0858078059613,107.638063132,1254.50178364,1677.08581061,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.72724685465e-14,2.71219991887e-23
matched_control,120,1.33333333333,1.40057898906,0.194236284177,0.194236284177,0.0861114193187,107.959216587,1253.80809217,1676.12235024,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.7287127021e-14,2.70989974634e-23
matched_control,130,1.44444444444,1.40057290695,0.194921885537,0.194921885537,0.0864153692549,108.280370041,1253.11440071,1675.15888988,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.73018267041e-14,2.70759702522e-23
matched_control,140,1.55555555556,1.40056682483,0.195608247362,0.195608247362,0.0867196563306,108.601523496,1252.42070925,1674.19542951,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.73165677701e-14,2.70529175127e-23
matched_control,150,1.66666666667,1.40056074272,0.19629537092,0.19629537092,0.0870242811078,108.922676951,1251.72701778,1673.23196915,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.73313503942e-14,2.70298392026e-23
matched_control,160,1.77777777778,1.40055466061,0.196983257481,0.196983257481,0.0873292441497,109.243830406,1251.03332632,1672.26850878,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.73461747526e-14,2.70067352793e-23
matched_control,170,1.88888888889,1.4005485785,0.197671908318,0.197671908318,0.0876345460209,109.564983861,1250.33963486,1671.30504842,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.73610410225e-14,2.69836057003e-23
matched_control,180,2,1.40054211641,0.19836043509,0.19836043509,0.08793979289,109.885699854,1249.64688832,1670.34290044,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.73759319973e-14,2.6960543936e-23
matched_control,190,2.11111111111,1.40053549049,0.199049342969,0.199049342969,0.0882452087163,110.20622724,1248.95454916,1669.38131828,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.73908576471e-14,2.69374970014e-23
matched_control,200,2.22222222222,1.40052886457,0.199739016391,0.199739016391,0.0885509639333,110.526754627,1248.26221001,1668.41973612,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.74058256293e-14,2.69144245821e-23
matched_control,210,2.33333333333,1.40052223865,0.200429456635,0.200429456635,0.0888570591081,110.847282013,1247.56987085,1667.45815396,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.74208361247e-14,2.68913266361e-23
matched_control,220,2.44444444444,1.40051561274,0.201120664983,0.201120664983,0.089163494809,111.1678094,1246.8775317,1666.4965718,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.74358893149e-14,2.68682031209e-23
matched_control,230,2.55555555556,1.40050898682,0.201812642719,0.201812642719,0.0894702716055,111.488336786,1246.18519254,1665.53498964,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.74509853828e-14,2.68450539942e-23
matched_control,240,2.66666666667,1.4005023609,0.202505391132,0.202505391132,0.0897773900684,111.808864173,1245.49285339,1664.57340748,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.74661245121e-14,2.68218792135e-23
matched_control,250,2.77777777778,1.40049573498,0.203198911511,0.203198911511,0.0900848507698,112.129391559,1244.80051423,1663.61182532,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.74813068878e-14,2.67986787362e-23
matched_control,260,2.88888888889,1.40048910907,0.20389320515,0.20389320515,0.0903926542832,112.449918946,1244.10817508,1662.65024316,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.74965326957e-14,2.67754525196e-23
matched_control,270,3,1.40048248315,0.204588273345,0.204588273345,0.0907008011831,112.770446332,1243.41583592,1661.688661,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.75118021229e-14,2.67522005209e-23
matched_control,280,3.11111111111,1.40047585723,0.205284117396,0.205284117396,0.0910092920456,113.090973719,1242.72349677,1660.72707884,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.75271153574e-14,2.67289226972e-23
matched_control,290,3.22222222222,1.40046923131,0.205980738604,0.205980738604,0.0913181274478,113.411501105,1242.03115761,1659.76549668,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.75424725884e-14,2.67056190056e-23
matched_control,300,3.33333333333,1.40046260539,0.206678138275,0.206678138275,0.0916273079684,113.732028492,1241.33881846,1658.80391452,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.75578740062e-14,2.6682289403e-23
matched_control,310,3.44444444444,1.40045597948,0.207376317715,0.207376317715,0.0919368341871,114.052555878,1240.6464793,1657.84233237,1.22549052144e-17,1e-09,5.99998200002e-06,0.999994000018,1,1,0.85,5.10622582465e-10,1.75733198021e-14,2.66589338462e-23
