name,value,description
A_cell,2*2[cm^2],电池面积
Aa_i2s_native,118[mV],Tafel slope for native I2(s) branch
Av_cf,4e4[1/m],Compressed felt surface area per electrode volume
D_Br2,(D_I2_free+K_I2_I*cI_m*D_I3_m+K_I2_Br*cBr_support*D_I2Br_m)/beta_I2,Internal legacy diffusivity name retained by the COMSOL cBr2 transport field; physically this is D_I2_tot
D_Br_m,1.0e-9[m^2/s],
D_I2Br_m,0.5e-9[m^2/s],I2Br- diffusion coefficient placeholder
D_I2_free,0.6e-9[m^2/s],Free I2 diffusion coefficient
D_I2_tot,(D_I2_free+K_I2_I*cI_m*D_I3_m+K_I2_Br*cBr_support*D_I2Br_m)/beta_I2,Effective diffusivity of transported total oxidized iodine; cI2_tot
D_I3_m,0.5e-9[m^2/s],I3- diffusion coefficient placeholder
D_I_m,1.0e-9[m^2/s],
D_Zn_2p,0.3e-9[m^2/s],
D_cell,2[cm],电池深度（面外）
D_eps_exp,1.0,Mild diffusivity correction because this condition is coverage-polarization dominated
D_eps_exp_R520,1.5,R520 bounded Bruggeman-like exponent for D_eff vs eps_l_eff
E0_I2_I,0.548[V],Formal positive-electrode potential at the reference free-I2 activity in concentrated ZnI2/NH4Br
E_cell_init,Eeq_ref_I-Eeq_ref_Zn,Initial Zn-I2 cell voltage with complexed iodine
Eeq_ref_Br,Eeq_ref_I,Internal legacy alias retained for solver compatibility; this is not a bromine redox potential
Eeq_ref_I,E0_I2_I+R_const*T/(2*F_const)*log((c0_I2_free/1[M])*(1[M]/cI_m)^2),Positive electrode reference equilibrium potential for the I2/I- chemistry using free I2 activity
Eeq_ref_Zn,-0.762[V]+R_const*T/(2*F_const)*log(c0_Zn_2p/1[M]),Negative electrode reference equilibrium potential for Zn2+/Zn
H_cell,A_cell/D_cell,电池高度
K0_perm_R520,1e-10[m^2],R520 nominal carbon-felt permeability scale for frozen Darcy estimate; not a fitted pressure threshold
K_I2_Br,0.0115[m^3/mol],Apparent association/solubilization constant for I2 + Br- = I2Br- placeholder
K_I2_I,0.72[m^3/mol],Association constant for I2 + I- = I3-; replace with measured/formal value if available
K_eq_diss,700[1/M],Apparent dissolution/complexation equilibrium constant
M_I2,253.80894[g/mol],R500 iodine solid molar mass
M_Zn,65.39[g/mol],锌的摩尔质量
N_ref_nd,1,Dimensionless reference nucleation density
N_sup_scale_i2,500,Progressive nucleation-site growth scale under anodic iodine supersaturation
N_target_max_nd,2e7,Upper bound for dimensionless nucleation-site density
Q_flow,50[ml/min],Flow rate for compression sweep
R520_area_perm_exp,0.5,R520 exponent mapping permeability loss to accessible-area transmissibility
R520_film_on,0,R520 switch: optional dense-I2 contact/film resistance sensitivity; default 0 so film is not the main mechanism
R520_porethroat_on,1,R520 switch: 1 multiplies accessible area by a pore-throat transmissibility factor; 0 keeps R500 theta-only area
R520_porosity_on,1,R520 switch: 1 couples native I2(s) volume to positive-electrode liquid porosity; 0 reproduces R500 porosity baseline
R520_theta_area_on,1,R520 switch: 1 applies native-I2(s)-derived surface coverage to soluble iodine reaction area; 0 keeps the full bare area for no-feedback ablation
R520_transport_on,1,R520 switch: 1 couples D and kappa_l to eps_l_eff; 0 keeps transport coefficients at R500 baseline
R522_native_flow_on,1,R522 switch: use native Free and Porous Media Flow velocity in positive pce2.
Rfilm_floor_i2,1e-6[ohm*m^2],Numerical floor for covered-surface film resistance when coverage is vanishingly small
S_OH_i2_meso,1.5,MESO0 shadow-only mesoscale diagnostic; not active in physics
S_armchair_edge_i2_meso,1.0,MESO0 shadow-only mesoscale diagnostic; not active in physics
S_carbonyl_i2_meso,1.0,MESO0 shadow-only mesoscale diagnostic; not active in physics
S_carboxyl_i2_meso,1.0,MESO0 shadow-only mesoscale diagnostic; not active in physics
S_defect_i2_meso,1.0,MESO0 shadow-only mesoscale diagnostic; not active in physics
S_edge_i2_meso,1.0,MESO0 shadow-only mesoscale diagnostic; not active in physics
S_epoxide_i2_meso,1.0,MESO0 shadow-only mesoscale diagnostic; not active in physics
T,293.15[K],温度
U,Q_flow/(D_cell*W_cf),Superficial velocity updated by compressed frame thickness
U_flow_R522,U,R522 inlet normal flow speed inherited from existing model velocity scale U.
V_res,25[cm^3],R520 actual wetted reservoir/tank inventory volume used for positive iodine bookkeeping
V_res_R500_old,29.25[cm^3],R500 old reservoir volume retained for branch audit
Vfit_a0,1.222473141[V],Fitted lumped formal/contact voltage offset
Vfit_charge_slope,0.03072233219[V],Fitted charge-side film/coverage slope per hour
Vfit_discharge_slope,-0.04505211146[V],Fitted discharge-side film/coverage slope per hour
Vfit_raw_gain,0.07425643717,Gain applied to solved COMSOL terminal voltage
Vfit_switch_drop,-0.07989123046[V],Fitted current-reversal film/contact jump
Vfit_tail2,8.709900741[V],Terminal depletion polynomial coefficient
Vfit_tail3,-112.2628361[V],Terminal depletion polynomial coefficient
Vfit_tail4,349.9753897[V],Terminal depletion polynomial coefficient
Vfit_tail6,-882.2792011[V],Terminal depletion polynomial coefficient
Vm_I2,51.5[cm^3/mol],Molar volume of solid iodine
W_cell,W_cf*2+W_sep,电池宽度
W_cf,2[mm],Compressed graphite felt/electrode frame thickness
W_sep,W_sep_num,Numerical separator width; membrane resistance is thickness-equivalent
W_sep_num,1[mm],Numerical separator width retained for mesh stability
alpha_a_Br,1.0,Anodic transfer coefficient for iodine oxidation
alpha_a_Zn,0.5,传递系数，锌反应
alpha_c_Br,1.0,Cathodic transfer coefficient for iodine reduction on wetted carbon/iodine-covered surface
av0_i2,Av_cf,Iodine coverage model uses compressed felt area
