FileName,pair_index,independent_file_id,independent_file_count,repeated_cycle_count_in_file,target_areal_capacity_mAh_cm2,current_density_mA_cm2,discharge_capacity_mAh_cm2,coulombic_efficiency_pct,window_mAh_cm2,window_points,primary_estimator,baseline_dVdQ_median,baseline_dVdQ_MAD,rise_threshold,rise_onset_Q_mAh_cm2,peak_Q_mAh_cm2,peak_dVdQ_V_per_mAh_cm2,peak_right_censored,onset_after_model_Qs_83,peak_after_model_Qf_cal_99p7,raw_sha256,Q_s_model_mAh_cm2,Q_f_cal_model_mAh_cm2,onset_before_Q_s,peak_after_Q_f_cal,window_role,independent_unit,population_interval,model_markers_fitted_to_data,processed_pair_input_sha256,processed_curve_input_sha256
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0009778,40.1771875,98.47934444,82.06545169,5.25,21,False,0.0006858357625,8.163629222e-05,0.001012380931,60.5,105.25,0.01079117433,False,False,True,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,True,True,prespecified_sensitivity,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0009778,40.1771875,98.47934444,82.06545169,10.25,41,True,0.000642135796,5.137104714e-05,0.0008476199846,52,95,0.006066643431,False,False,False,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,True,False,primary,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0009778,40.1771875,98.47934444,82.06545169,15.25,61,False,0.0006489187488,4.498531411e-05,0.0008288600052,50.25,92.75,0.006358188265,False,False,False,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,True,False,prespecified_sensitivity,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,21,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0010889,40.17714423,86.59470556,72.16159983,5.25,21,False,0.0006736603269,7.479416832e-05,0.0009728370001,57,103.5,0.01044164973,False,False,True,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,True,True,prespecified_sensitivity,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,21,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0010889,40.17714423,86.59470556,72.16159983,10.25,41,True,0.0006691531276,4.483519218e-05,0.0008484938963,50.75,92,0.005816484466,False,False,False,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,True,False,primary,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,21,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0010889,40.17714423,86.59470556,72.16159983,15.25,61,False,0.0006663151439,5.152143245e-05,0.0008724008737,58,108,0.002641812677,False,False,True,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,True,True,prespecified_sensitivity,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,22,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0011,40.17715356,89.01641667,74.17966724,5.25,21,False,0.0006017611848,0.0001615515607,0.001247967428,51.5,106.25,0.01264418412,False,False,True,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,True,True,prespecified_sensitivity,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,22,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0011,40.17715356,89.01641667,74.17966724,10.25,41,True,0.0006059797604,0.0001440208261,0.001182063065,51.75,106.75,0.004763800335,False,False,True,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,True,True,primary,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,22,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0011,40.17715356,89.01641667,74.17966724,15.25,61,False,0.0006080728199,9.200786814e-05,0.0009761042924,52.25,110.25,0.003381111288,False,False,True,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,True,True,prespecified_sensitivity,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,23,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0010889,40.17715226,88.51989444,73.76590935,5.25,21,False,0.000473032413,0.001059184079,0.00470976873,62.5,115.25,0.01203384537,False,False,True,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,True,True,prespecified_sensitivity,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,23,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0010889,40.17715226,88.51989444,73.76590935,10.25,41,True,0.0005153209232,0.0007758526799,0.003618731643,89.25,114,0.007470045167,False,True,True,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,False,True,primary,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,23,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,1,4,120.0010889,40.17715226,88.51989444,73.76590935,15.25,61,False,0.0005912497102,0.0003047624563,0.001810299535,70.25,105.75,0.002606793036,False,False,True,D276F111323AA0E6D9271DED881B9E6C5437712931F85A3430FDB5D326B6CC98,83,99.7,True,True,prespecified_sensitivity,one physical cell/file; cycles are repeated measures,none,False,46095B14D037D10CFD0634162150A5FF5C57EA9263466E1970C85D19C53D937D,60991FDD7EE01D8D429CD79A0F08D06C7E06993E632F757F4CE8568668245F6E
