model,rule,registered_definition
single_fibre,outer concentration boundary,c = 1 at r_out
single_fibre,bare wall,c = 0 at a bare wall node
single_fibre,covered wall,zero normal flux at a covered wall node
single_fibre,periodicity,theta and z are periodic
single_fibre,placement,uniform-random Poisson sites; N = round(n_n A_surf)
single_fibre,assigned cap size,a = (3 V_s / (2 pi N))^(1/3)
pore_network,Dirichlet drop,phi = 1 at x = 0; phi = 0 at x = 14
pore_network,conductance,g_h proportional to r^4/l; g_i proportional to r^2/l
pore_network,allocation,"V_s,k = V_total w_k / sum(w)"
pore_network,radius update,"r_new,k^2 = max(r_0,k^2 - V_s,k/(pi l), r_min^2)"
pore_network,tested weights,1; 2 pi r_0 l; 1/r_0^2; abs(q_0); exp[x/(0.3 n_x)]; registered strong-site draw
