edge_index,node_0,node_1,x0_index,y0_index,x1_index,y1_index,z_index,axis,r0_um
7,7,232,0,0,1,0,7,x,20.5207450197
22,22,247,0,1,1,1,7,x,18.3548091872
37,37,262,0,2,1,2,7,x,9.22612999353
52,52,277,0,3,1,3,7,x,22.1049639999
67,67,292,0,4,1,4,7,x,18.2741469883
82,82,307,0,5,1,5,7,x,25.2553432954
97,97,322,0,6,1,6,7,x,11.4025476768
112,112,337,0,7,1,7,7,x,17.7487340607
127,127,352,0,8,1,8,7,x,13.5842029391
142,142,367,0,9,1,9,7,x,19.8407982783
157,157,382,0,10,1,10,7,x,25.6158800178
172,172,397,0,11,1,11,7,x,17.6636850048
187,187,412,0,12,1,12,7,x,16.4935979171
202,202,427,0,13,1,13,7,x,13.0401423671
217,217,442,0,14,1,14,7,x,25.2618841497
232,232,457,1,0,2,0,7,x,15.3607602513
247,247,472,1,1,2,1,7,x,13.2879707259
262,262,487,1,2,2,2,7,x,21.2543028616
277,277,502,1,3,2,3,7,x,7.23258125847
292,292,517,1,4,2,4,7,x,8.63135336629
307,307,532,1,5,2,5,7,x,19.641691762
322,322,547,1,6,2,6,7,x,11.2336110231
337,337,562,1,7,2,7,7,x,14.574321656
352,352,577,1,8,2,8,7,x,16.2087113337
367,367,592,1,9,2,9,7,x,16.5219398458
382,382,607,1,10,2,10,7,x,13.3509173926
397,397,622,1,11,2,11,7,x,18.1940706369
412,412,637,1,12,2,12,7,x,20.8603031906
427,427,652,1,13,2,13,7,x,16.0515174397
442,442,667,1,14,2,14,7,x,31.5622787452
457,457,682,2,0,3,0,7,x,12.5919503001
472,472,697,2,1,3,1,7,x,14.570637789
487,487,712,2,2,3,2,7,x,12.6567018552
502,502,727,2,3,3,3,7,x,12.8458676722
517,517,742,2,4,3,4,7,x,30.01008024
532,532,757,2,5,3,5,7,x,15.9813643051
547,547,772,2,6,3,6,7,x,18.3548252453
562,562,787,2,7,3,7,7,x,28.5237739084
577,577,802,2,8,3,8,7,x,11.3694597249
592,592,817,2,9,3,9,7,x,28.0311903645
607,607,832,2,10,3,10,7,x,17.3594183333
622,622,847,2,11,3,11,7,x,11.5031721388
637,637,862,2,12,3,12,7,x,14.068898749
652,652,877,2,13,3,13,7,x,21.4009532154
667,667,892,2,14,3,14,7,x,11.6216334438
682,682,907,3,0,4,0,7,x,13.5692206063
697,697,922,3,1,4,1,7,x,14.445982999
712,712,937,3,2,4,2,7,x,21.681358028
727,727,952,3,3,4,3,7,x,22.1428225414
742,742,967,3,4,4,4,7,x,24.4818393912
757,757,982,3,5,4,5,7,x,12.2351446159
772,772,997,3,6,4,6,7,x,27.1742608721
787,787,1012,3,7,4,7,7,x,15.3031250212
802,802,1027,3,8,4,8,7,x,13.0778929239
817,817,1042,3,9,4,9,7,x,9.62933971689
832,832,1057,3,10,4,10,7,x,21.296022918
847,847,1072,3,11,4,11,7,x,15.8383111585
862,862,1087,3,12,4,12,7,x,15.9167084076
877,877,1102,3,13,4,13,7,x,18.9839265942
892,892,1117,3,14,4,14,7,x,20.1840496857
907,907,1132,4,0,5,0,7,x,14.1832446322
922,922,1147,4,1,5,1,7,x,19.0523292721
937,937,1162,4,2,5,2,7,x,12.1398538512
952,952,1177,4,3,5,3,7,x,15.9036203881
967,967,1192,4,4,5,4,7,x,40.003936179
982,982,1207,4,5,5,5,7,x,9.40802237764
997,997,1222,4,6,5,6,7,x,19.1219818077
1012,1012,1237,4,7,5,7,7,x,19.0731671955
1027,1027,1252,4,8,5,8,7,x,8.84060871121
1042,1042,1267,4,9,5,9,7,x,24.1436353232
1057,1057,1282,4,10,5,10,7,x,7.62283829113
1072,1072,1297,4,11,5,11,7,x,11.0930485073
1087,1087,1312,4,12,5,12,7,x,15.0467542685
1102,1102,1327,4,13,5,13,7,x,23.6367814607
1117,1117,1342,4,14,5,14,7,x,41.3485593403
1132,1132,1357,5,0,6,0,7,x,19.4118072406
1147,1147,1372,5,1,6,1,7,x,29.2668714251
1162,1162,1387,5,2,6,2,7,x,13.3009640818
1177,1177,1402,5,3,6,3,7,x,16.3397032203
1192,1192,1417,5,4,6,4,7,x,10.3045003107
1207,1207,1432,5,5,6,5,7,x,20.7816056595
1222,1222,1447,5,6,6,6,7,x,5.01413122915
1237,1237,1462,5,7,6,7,7,x,14.6451354299
1252,1252,1477,5,8,6,8,7,x,15.634141864
1267,1267,1492,5,9,6,9,7,x,13.328665443
1282,1282,1507,5,10,6,10,7,x,9.0350332108
1297,1297,1522,5,11,6,11,7,x,12.8457179232
1312,1312,1537,5,12,6,12,7,x,11.691531868
1327,1327,1552,5,13,6,13,7,x,11.1465365554
1342,1342,1567,5,14,6,14,7,x,7.12417708721
1357,1357,1582,6,0,7,0,7,x,21.4309406489
1372,1372,1597,6,1,7,1,7,x,35.3539100056
1387,1387,1612,6,2,7,2,7,x,17.9590796371
1402,1402,1627,6,3,7,3,7,x,20.9656102508
1417,1417,1642,6,4,7,4,7,x,11.5926655437
1432,1432,1657,6,5,7,5,7,x,15.674468488
1447,1447,1672,6,6,7,6,7,x,8.84400121625
1462,1462,1687,6,7,7,7,7,x,8.98184290532
1477,1477,1702,6,8,7,8,7,x,10.9241329925
1492,1492,1717,6,9,7,9,7,x,24.7164324907
1507,1507,1732,6,10,7,10,7,x,10.3312854776
1522,1522,1747,6,11,7,11,7,x,25.5162171506
1537,1537,1762,6,12,7,12,7,x,21.3787865808
1552,1552,1777,6,13,7,13,7,x,11.8898155925
1567,1567,1792,6,14,7,14,7,x,14.0136539211
1582,1582,1807,7,0,8,0,7,x,16.900049734
1597,1597,1822,7,1,8,1,7,x,6.8367997863
1612,1612,1837,7,2,8,2,7,x,24.7026769481
1627,1627,1852,7,3,8,3,7,x,13.108591375
1642,1642,1867,7,4,8,4,7,x,18.1202837232
1657,1657,1882,7,5,8,5,7,x,18.4740085006
1672,1672,1897,7,6,8,6,7,x,18.1061973169
1687,1687,1912,7,7,8,7,7,x,18.072692923
1702,1702,1927,7,8,8,8,7,x,12.0997242371
1717,1717,1942,7,9,8,9,7,x,6.07493191274
1732,1732,1957,7,10,8,10,7,x,17.8685176282
1747,1747,1972,7,11,8,11,7,x,13.6228600671
1762,1762,1987,7,12,8,12,7,x,12.4789219973
1777,1777,2002,7,13,8,13,7,x,13.5793026977
1792,1792,2017,7,14,8,14,7,x,33.3882235456
1807,1807,2032,8,0,9,0,7,x,20.7165544834
1822,1822,2047,8,1,9,1,7,x,10.2626407994
1837,1837,2062,8,2,9,2,7,x,7.66696686258
1852,1852,2077,8,3,9,3,7,x,14.9909227514
1867,1867,2092,8,4,9,4,7,x,6.14025063538
1882,1882,2107,8,5,9,5,7,x,15.8301221352
1897,1897,2122,8,6,9,6,7,x,23.5453903006
1912,1912,2137,8,7,9,7,7,x,18.7603520007
1927,1927,2152,8,8,9,8,7,x,8.45187937975
1942,1942,2167,8,9,9,9,7,x,17.6776754159
1957,1957,2182,8,10,9,10,7,x,20.3117474246
1972,1972,2197,8,11,9,11,7,x,22.116606112
1987,1987,2212,8,12,9,12,7,x,15.7246802027
2002,2002,2227,8,13,9,13,7,x,8.13552625935
2017,2017,2242,8,14,9,14,7,x,9.65032551369
2032,2032,2257,9,0,10,0,7,x,18.9273612042
2047,2047,2272,9,1,10,1,7,x,12.5080350303
2062,2062,2287,9,2,10,2,7,x,8.29520660222
2077,2077,2302,9,3,10,3,7,x,15.5071857606
2092,2092,2317,9,4,10,4,7,x,31.3782071098
2107,2107,2332,9,5,10,5,7,x,13.5842340545
2122,2122,2347,9,6,10,6,7,x,12.9925272459
2137,2137,2362,9,7,10,7,7,x,5.93509839134
2152,2152,2377,9,8,10,8,7,x,9.19573623877
2167,2167,2392,9,9,10,9,7,x,10.0337247022
2182,2182,2407,9,10,10,10,7,x,38.7237411206
2197,2197,2422,9,11,10,11,7,x,15.4701532325
2212,2212,2437,9,12,10,12,7,x,34.2410984904
2227,2227,2452,9,13,10,13,7,x,8.01167564098
2242,2242,2467,9,14,10,14,7,x,10.1236509788
2257,2257,2482,10,0,11,0,7,x,17.6273014189
2272,2272,2497,10,1,11,1,7,x,15.6465847261
2287,2287,2512,10,2,11,2,7,x,22.8499670377
