node_id,x_index,y_index,z_index,boundary_role
7,0,0,7,inlet_dirichlet_phi_1
22,0,1,7,inlet_dirichlet_phi_1
37,0,2,7,inlet_dirichlet_phi_1
52,0,3,7,inlet_dirichlet_phi_1
67,0,4,7,inlet_dirichlet_phi_1
82,0,5,7,inlet_dirichlet_phi_1
97,0,6,7,inlet_dirichlet_phi_1
112,0,7,7,inlet_dirichlet_phi_1
127,0,8,7,inlet_dirichlet_phi_1
142,0,9,7,inlet_dirichlet_phi_1
157,0,10,7,inlet_dirichlet_phi_1
172,0,11,7,inlet_dirichlet_phi_1
187,0,12,7,inlet_dirichlet_phi_1
202,0,13,7,inlet_dirichlet_phi_1
217,0,14,7,inlet_dirichlet_phi_1
232,1,0,7,interior
247,1,1,7,interior
262,1,2,7,interior
277,1,3,7,interior
292,1,4,7,interior
307,1,5,7,interior
322,1,6,7,interior
337,1,7,7,interior
352,1,8,7,interior
367,1,9,7,interior
382,1,10,7,interior
397,1,11,7,interior
412,1,12,7,interior
427,1,13,7,interior
442,1,14,7,interior
457,2,0,7,interior
472,2,1,7,interior
487,2,2,7,interior
502,2,3,7,interior
517,2,4,7,interior
532,2,5,7,interior
547,2,6,7,interior
562,2,7,7,interior
577,2,8,7,interior
592,2,9,7,interior
607,2,10,7,interior
622,2,11,7,interior
637,2,12,7,interior
652,2,13,7,interior
667,2,14,7,interior
682,3,0,7,interior
697,3,1,7,interior
712,3,2,7,interior
727,3,3,7,interior
742,3,4,7,interior
757,3,5,7,interior
772,3,6,7,interior
787,3,7,7,interior
802,3,8,7,interior
817,3,9,7,interior
832,3,10,7,interior
847,3,11,7,interior
862,3,12,7,interior
877,3,13,7,interior
892,3,14,7,interior
907,4,0,7,interior
922,4,1,7,interior
937,4,2,7,interior
952,4,3,7,interior
967,4,4,7,interior
982,4,5,7,interior
997,4,6,7,interior
1012,4,7,7,interior
1027,4,8,7,interior
1042,4,9,7,interior
1057,4,10,7,interior
1072,4,11,7,interior
1087,4,12,7,interior
1102,4,13,7,interior
1117,4,14,7,interior
1132,5,0,7,interior
1147,5,1,7,interior
1162,5,2,7,interior
1177,5,3,7,interior
1192,5,4,7,interior
1207,5,5,7,interior
1222,5,6,7,interior
1237,5,7,7,interior
1252,5,8,7,interior
1267,5,9,7,interior
1282,5,10,7,interior
1297,5,11,7,interior
1312,5,12,7,interior
1327,5,13,7,interior
1342,5,14,7,interior
1357,6,0,7,interior
1372,6,1,7,interior
1387,6,2,7,interior
1402,6,3,7,interior
1417,6,4,7,interior
1432,6,5,7,interior
1447,6,6,7,interior
1462,6,7,7,interior
1477,6,8,7,interior
1492,6,9,7,interior
1507,6,10,7,interior
1522,6,11,7,interior
1537,6,12,7,interior
1552,6,13,7,interior
1567,6,14,7,interior
1582,7,0,7,interior
1597,7,1,7,interior
1612,7,2,7,interior
1627,7,3,7,interior
1642,7,4,7,interior
1657,7,5,7,interior
1672,7,6,7,interior
1687,7,7,7,interior
1702,7,8,7,interior
1717,7,9,7,interior
1732,7,10,7,interior
1747,7,11,7,interior
1762,7,12,7,interior
1777,7,13,7,interior
1792,7,14,7,interior
1807,8,0,7,interior
1822,8,1,7,interior
1837,8,2,7,interior
1852,8,3,7,interior
1867,8,4,7,interior
1882,8,5,7,interior
1897,8,6,7,interior
1912,8,7,7,interior
1927,8,8,7,interior
1942,8,9,7,interior
1957,8,10,7,interior
1972,8,11,7,interior
1987,8,12,7,interior
2002,8,13,7,interior
2017,8,14,7,interior
2032,9,0,7,interior
2047,9,1,7,interior
2062,9,2,7,interior
2077,9,3,7,interior
2092,9,4,7,interior
2107,9,5,7,interior
2122,9,6,7,interior
2137,9,7,7,interior
2152,9,8,7,interior
2167,9,9,7,interior
2182,9,10,7,interior
2197,9,11,7,interior
2212,9,12,7,interior
2227,9,13,7,interior
2242,9,14,7,interior
2257,10,0,7,interior
2272,10,1,7,interior
2287,10,2,7,interior
2302,10,3,7,interior
2317,10,4,7,interior
2332,10,5,7,interior
2347,10,6,7,interior
2362,10,7,7,interior
2377,10,8,7,interior
2392,10,9,7,interior
2407,10,10,7,interior
2422,10,11,7,interior
2437,10,12,7,interior
2452,10,13,7,interior
2467,10,14,7,interior
2482,11,0,7,interior
2497,11,1,7,interior
2512,11,2,7,interior
2527,11,3,7,interior
2542,11,4,7,interior
2557,11,5,7,interior
2572,11,6,7,interior
2587,11,7,7,interior
2602,11,8,7,interior
2617,11,9,7,interior
2632,11,10,7,interior
2647,11,11,7,interior
2662,11,12,7,interior
2677,11,13,7,interior
2692,11,14,7,interior
2707,12,0,7,interior
2722,12,1,7,interior
2737,12,2,7,interior
2752,12,3,7,interior
2767,12,4,7,interior
2782,12,5,7,interior
2797,12,6,7,interior
2812,12,7,7,interior
2827,12,8,7,interior
2842,12,9,7,interior
2857,12,10,7,interior
2872,12,11,7,interior
2887,12,12,7,interior
2902,12,13,7,interior
2917,12,14,7,interior
2932,13,0,7,interior
2947,13,1,7,interior
2962,13,2,7,interior
2977,13,3,7,interior
2992,13,4,7,interior
3007,13,5,7,interior
3022,13,6,7,interior
3037,13,7,7,interior
3052,13,8,7,interior
3067,13,9,7,interior
3082,13,10,7,interior
3097,13,11,7,interior
3112,13,12,7,interior
3127,13,13,7,interior
3142,13,14,7,interior
3157,14,0,7,outlet_dirichlet_phi_0
3172,14,1,7,outlet_dirichlet_phi_0
3187,14,2,7,outlet_dirichlet_phi_0
3202,14,3,7,outlet_dirichlet_phi_0
3217,14,4,7,outlet_dirichlet_phi_0
3232,14,5,7,outlet_dirichlet_phi_0
3247,14,6,7,outlet_dirichlet_phi_0
3262,14,7,7,outlet_dirichlet_phi_0
3277,14,8,7,outlet_dirichlet_phi_0
