m_exp,v_ratio,flow_mL_min,delta_ratio,delta_um,Q_onset,dQ
0.4,0.2,10.0,1.9036539387158786,47.591348467896964,65.55686212687702,-17.46333734496727
0.4,0.29743589743589743,14.871794871794872,1.6242117468103368,40.60529367025842,70.93671550049105,-12.083483971353246
0.4,0.3948717948717949,19.743589743589745,1.450165451903443,36.25413629758608,74.29659870192076,-8.723600769923536
0.4,0.49230769230769234,24.615384615384617,1.3277164966669694,33.19291241667423,76.66481700598365,-6.355382465860643
0.4,0.5897435897435898,29.48717948717949,1.2351926774989657,30.879816937474143,78.45672811277483,-4.563471359069467
0.4,0.6871794871794872,34.35897435897436,1.1619084903113812,29.047712257784532,79.87758547267379,-3.142613999170507
0.4,0.7846153846153847,39.23076923076923,1.101887540178547,27.54718850446368,81.04229408372424,-1.9779053881200497
0.4,0.882051282051282,44.1025641025641,1.051483508970603,26.287087724265074,82.02119632133373,-0.9990031505105605
0.4,0.9794871794871796,48.97435897435898,1.008324913172243,25.208122829306078,82.85998787149927,-0.16021160034502202
0.4,1.0769230769230769,53.84615384615385,0.9707918611072877,24.269796527682193,83.5898913647862,0.5696918929419041
0.4,1.1743589743589744,58.71794871794872,0.937733975887363,23.443349397184075,84.23313586333164,1.2129363914873466
0.4,1.2717948717948717,63.589743589743584,0.9083080688584649,22.70770172146162,84.80608816805722,1.785888696212922
0.4,1.3692307692307693,68.46153846153847,0.8818796884483914,22.046992211209787,85.3210094691003,2.3008099972560103
0.4,1.4666666666666666,73.33333333333333,0.8579607719284946,21.449019298212367,85.78725148720225,2.7670520153579616
0.4,1.564102564102564,78.2051282051282,0.8361687039963169,20.904217599907927,86.21220759541839,3.192008123574098
0.4,1.6615384615384614,83.07692307692307,0.8161985905209438,20.404964763023596,86.60176125849938,3.5815617866550866
0.4,1.758974358974359,87.94871794871794,0.797803976300918,19.94509940752295,86.96070911131117,3.9405096394668817
0.4,1.8564102564102565,92.82051282051282,0.7807831212996872,19.51957803249218,87.29303244803505,4.272832976190756
0.4,1.9538461538461538,97.6923076923077,0.7649690323025842,19.124225807564603,87.60193024595038,4.5817307741060915
0.4,2.0512820512820515,102.56410256410258,0.7502220906519135,18.755552266297837,87.8901014957435,4.869902023899201
0.4,2.1487179487179486,107.43589743589743,0.7364245115407394,18.41061278851849,88.15970041309042,5.139500941246126
0.4,2.246153846153846,112.3076923076923,0.7234761192403508,18.086902981008773,88.41280304415984,5.392603572315551
0.4,2.3435897435897437,117.17948717948718,0.7112910834199354,17.782277085498386,88.65107025111644,5.6308707792721435
0.4,2.4410256410256412,122.05128205128206,0.6997953678862102,17.494884197155258,88.87596108602277,5.855761614178476
0.4,2.5384615384615388,126.92307692307693,0.6889247145799499,17.223117864498747,89.08871794355596,6.06851847171167
0.4,2.6358974358974363,131.79487179487182,0.6786230347048149,16.965575867620373,89.29033250903896,6.270133037194668
0.4,2.7333333333333334,136.66666666666666,0.6688411130488917,16.721027826222294,89.48176161389475,6.461562142050454
0.4,2.830769230769231,141.53846153846155,0.6595355557505805,16.488388893764515,89.66390251885421,6.643703047009922
0.4,2.9282051282051285,146.4102564102564,0.6506679291175822,16.266698227939557,89.83747662895911,6.817277157114816
0.4,3.025641025641026,151.2820512820513,0.6422040497210342,16.055101243025856,90.00321525352676,6.983015781682468
0.4,3.123076923076923,156.15384615384616,0.6341133952615623,15.852834881539058,90.16164660082488,7.141447128980587
0.4,3.2205128205128206,161.02564102564102,0.626368612598853,15.659215314971327,90.31337323143447,7.293173759590175
0.4,3.317948717948718,165.8974358974359,0.618945104514462,15.473627612861552,90.45883293158599,7.438633459741695
0.4,3.4153846153846157,170.76923076923077,0.6118206807035349,15.295517017588374,90.59845803463908,7.578258562794787
0.4,3.512820512820513,175.64102564102566,0.6049752614942957,15.124381537357394,90.73266392807112,7.712464456226826
