Q_mAh_cm2,V_baseline_KC_V,V_network_smooth_path_V,DeltaV_network_minus_KC_mV,K_over_K0_baseline_KC,K_over_K0_network_smooth_path,eps_s_baseline_KC,eps_s_network_smooth_path,evidence_class
0,1.4007174,1.4007174,0,1,1,0,0,E-SIM
0.11111111,1.4006399,1.4006399,0,1,1,8.0112973e-19,2.9718476e-19,E-SIM
0.22222222,1.4006373,1.4006373,0,1,1,1.3912689e-18,4.9072501e-18,E-SIM
0.33333333,1.4006369,1.4006369,0,1,1,2.3774781e-18,8.1429681e-18,E-SIM
0.44444444,1.4006273,1.4006273,0,1,1,2.6328877e-18,8.6500858e-18,E-SIM
0.55555556,1.4006187,1.4006187,0,1,1,2.5477512e-18,8.1107114e-18,E-SIM
0.66666667,1.4006134,1.4006134,0,1,1,2.590055e-18,8.1107114e-18,E-SIM
0.77777778,1.4006081,1.4006081,0,1,1,2.6238982e-18,8.1107114e-18,E-SIM
0.88888889,1.4006028,1.4006028,0,1,1,2.6238982e-18,8.1107114e-18,E-SIM
1,1.4005972,1.4005972,0,1,1,2.6238982e-18,8.1107114e-18,E-SIM
1.1111111,1.4005912,1.4005912,0,1,1,2.6238982e-18,8.1107114e-18,E-SIM
1.2222222,1.4005851,1.4005851,0,1,1,2.6238982e-18,8.1107114e-18,E-SIM
1.3333333,1.400579,1.400579,0,1,1,2.6238982e-18,8.1371513e-18,E-SIM
1.4444444,1.4005729,1.4005729,0,1,1,2.6503381e-18,8.1635912e-18,E-SIM
1.5555556,1.4005668,1.4005668,0,1,1,2.676778e-18,8.1635912e-18,E-SIM
1.6666667,1.4005607,1.4005607,0,1,1,2.6979299e-18,8.1635912e-18,E-SIM
1.7777778,1.4005547,1.4005547,0,1,1,2.6979299e-18,8.1974343e-18,E-SIM
1.8888889,1.4005486,1.4005486,0,1,1,2.6979299e-18,8.1974343e-18,E-SIM
2,1.4005421,1.4005421,0,1,1,2.6979299e-18,8.1974343e-18,E-SIM
2.1111111,1.4005355,1.4005355,0,1,1,2.6979299e-18,8.1974343e-18,E-SIM
2.2222222,1.4005289,1.4005289,0,1,1,2.6979299e-18,8.1762824e-18,E-SIM
2.3333333,1.4005222,1.4005222,0,1,1,2.7111499e-18,8.1762824e-18,E-SIM
2.4444444,1.4005156,1.4005156,0,1,1,2.7111499e-18,8.1762824e-18,E-SIM
2.5555556,1.400509,1.400509,0,1,1,2.7111499e-18,8.1974343e-18,E-SIM
2.6666667,1.4005024,1.4005024,0,1,1,2.7111499e-18,8.2312774e-18,E-SIM
2.7777778,1.4004957,1.4004957,0,1,1,2.7323018e-18,8.2444974e-18,E-SIM
2.8888889,1.4004891,1.4004891,0,1,1,2.7323018e-18,8.2444974e-18,E-SIM
3,1.4004825,1.4004825,0,1,1,2.7323018e-18,8.2444974e-18,E-SIM
3.1111111,1.4004759,1.4004759,0,1,1,2.7323018e-18,8.2915605e-18,E-SIM
3.2222222,1.4004693,1.4004692,-9.99999998363e-05,1,1,2.7323018e-18,8.3259324e-18,E-SIM
3.3333333,1.4004626,1.4004626,0,1,1,2.7323018e-18,8.3047804e-18,E-SIM
3.4444444,1.400456,1.400456,0,1,1,2.7323018e-18,8.3259324e-18,E-SIM
3.5555556,1.4004494,1.4004494,0,1,1,2.7323018e-18,8.3047804e-18,E-SIM
3.6666667,1.4004428,1.4004427,-0.000100000000058,1,1,2.7323018e-18,8.2915605e-18,E-SIM
3.7777778,1.4004361,1.4004361,0,1,1,2.7323018e-18,8.3127124e-18,E-SIM
3.8888889,1.4004498,1.4004498,0,1,1,2.7323018e-18,8.3127124e-18,E-SIM
4,1.4004917,1.4004917,0,1,1,2.7455218e-18,8.3127124e-18,E-SIM
4.1111111,1.4005336,1.4005336,0,1,1,2.8116216e-18,8.3465555e-18,E-SIM
4.2222222,1.4005755,1.4005755,0,1,1,2.9015174e-18,8.3465555e-18,E-SIM
4.3333333,1.4006174,1.4006174,0,1,1,3.0120363e-18,8.3465555e-18,E-SIM
4.4444444,1.4006592,1.4006593,0.000100000000058,1,1,3.1199111e-18,8.3597755e-18,E-SIM
4.5555556,1.4007011,1.4007012,0.000100000000058,1,1,3.159571e-18,8.3597755e-18,E-SIM
4.6666667,1.400743,1.4007431,9.99999998363e-05,1,1,3.2198541e-18,8.3597755e-18,E-SIM
4.7777778,1.4007849,1.400785,9.99999998363e-05,1,1,3.2674459e-18,8.3597755e-18,E-SIM
4.8888889,1.4008268,1.4008269,0.000100000000058,1,1,3.3626297e-18,8.3809274e-18,E-SIM
5,1.4008687,1.4008688,0.000100000000058,1,1,3.3890696e-18,8.4147705e-18,E-SIM
5.1111111,1.4009105,1.4009107,0.000200000000117,1,1,3.4102215e-18,8.4147705e-18,E-SIM
5.2222222,1.4009524,1.4009526,0.000200000000117,1,1,3.5551123e-18,8.4147705e-18,E-SIM
5.3333333,1.4009943,1.4009945,0.000199999999895,1,1,3.6450081e-18,8.4147705e-18,E-SIM
5.4444444,1.4010362,1.4010364,0.000199999999895,1,1,3.7507678e-18,8.4147705e-18,E-SIM
5.5555556,1.4010781,1.4010783,0.000199999999895,1,1,3.8195116e-18,8.4147705e-18,E-SIM
5.6666667,1.40112,1.4011202,0.000200000000117,1,1,3.8491243e-18,8.4279905e-18,E-SIM
5.7777778,1.4011618,1.4011621,0.000300000000175,1,1,3.9940151e-18,8.4279905e-18,E-SIM
5.8888889,1.4012037,1.401204,0.000299999999953,1,1,4.015167e-18,8.4491424e-18,E-SIM
6,1.4012456,1.4012459,0.000299999999953,1,1,4.0574709e-18,8.4702944e-18,E-SIM
6.1111111,1.4012875,1.4012878,0.000299999999953,1,1,4.0574709e-18,8.4702944e-18,E-SIM
6.2222222,1.4013294,1.4013297,0.000299999999953,1,1,4.2203408e-18,8.4702944e-18,E-SIM
6.3333333,1.4013712,1.4013716,0.000400000000012,1,1,4.2811526e-18,8.4702944e-18,E-SIM
6.4444444,1.4014131,1.4014135,0.000400000000012,1,1,4.3287445e-18,8.4914463e-18,E-SIM
6.5555556,1.401455,1.4014554,0.000400000000012,1,1,4.4181115e-18,8.4914463e-18,E-SIM
6.6666667,1.4014969,1.4014973,0.000400000000012,1,1,4.4709913e-18,8.4914463e-18,E-SIM
6.7777778,1.4015388,1.4015392,0.000400000000012,1,1,4.5450231e-18,8.4914463e-18,E-SIM
6.8888889,1.4015807,1.4015811,0.000400000000012,1,1,4.5450231e-18,8.4914463e-18,E-SIM
7,1.4016225,1.4016231,0.000599999999906,1,1,4.5788662e-18,8.5252894e-18,E-SIM
7.1111111,1.4016644,1.401665,0.000599999999906,1,1,4.6819819e-18,8.5252894e-18,E-SIM
7.2222222,1.4017063,1.4017069,0.000599999999906,1,1,4.7687049e-18,8.5252894e-18,E-SIM
7.3333333,1.4017482,1.4017488,0.000599999999906,1,1,4.8712918e-18,8.5464413e-18,E-SIM
7.4444444,1.4017901,1.4017907,0.000600000000128,1,1,4.8977317e-18,8.5125982e-18,E-SIM
7.5555556,1.401832,1.4018326,0.000600000000128,1,1,4.9796955e-18,8.5125982e-18,E-SIM
7.6666667,1.4018738,1.4018745,0.000699999999965,1,1,5.0140674e-18,8.5337502e-18,E-SIM
7.7777778,1.4019556,1.4019562,0.000600000000128,1,1,5.0272873e-18,8.5337502e-18,E-SIM
7.8888889,1.4020438,1.4020444,0.000600000000128,1,1,5.0272873e-18,8.5337502e-18,E-SIM
