Q,V_baseline_KC,V_network_cpath,dV_mV,K_perm_rel_KC,K_perm_rel_network,eps_s
0.0,1.4007174,1.4007174,0.0,1.0,1.0,0.0
0.11111111,1.4006399,1.4006399,0.0,1.0,1.0,8.0112973e-19
0.22222222,1.4006373,1.4006373,0.0,1.0,1.0,1.3912689e-18
0.33333333,1.4006369,1.4006369,0.0,1.0,1.0,2.3774781e-18
0.44444444,1.4006273,1.4006273,0.0,1.0,1.0,2.6328877e-18
0.55555556,1.4006187,1.4006187,0.0,1.0,1.0,2.5477512e-18
0.66666667,1.4006134,1.4006134,0.0,1.0,1.0,2.590055e-18
0.77777778,1.4006081,1.4006081,0.0,1.0,1.0,2.6238982e-18
0.88888889,1.4006028,1.4006028,0.0,1.0,1.0,2.6238982e-18
1.0,1.4005972,1.4005972,0.0,1.0,1.0,2.6238982e-18
1.1111111,1.4005912,1.4005912,0.0,1.0,1.0,2.6238982e-18
1.2222222,1.4005851,1.4005851,0.0,1.0,1.0,2.6238982e-18
1.3333333,1.400579,1.400579,0.0,1.0,1.0,2.6238982e-18
1.4444444,1.4005729,1.4005729,0.0,1.0,1.0,2.6503381e-18
1.5555556,1.4005668,1.4005668,0.0,1.0,1.0,2.676778e-18
1.6666667,1.4005607,1.4005607,0.0,1.0,1.0,2.6979299e-18
1.7777778,1.4005547,1.4005547,0.0,1.0,1.0,2.6979299e-18
1.8888889,1.4005486,1.4005486,0.0,1.0,1.0,2.6979299e-18
2.0,1.4005421,1.4005421,0.0,1.0,1.0,2.6979299e-18
2.1111111,1.4005355,1.4005355,0.0,1.0,1.0,2.6979299e-18
2.2222222,1.4005289,1.4005289,0.0,1.0,1.0,2.6979299e-18
2.3333333,1.4005222,1.4005222,0.0,1.0,1.0,2.7111499e-18
2.4444444,1.4005156,1.4005156,0.0,1.0,1.0,2.7111499e-18
2.5555556,1.400509,1.400509,0.0,1.0,1.0,2.7111499e-18
2.6666667,1.4005024,1.4005024,0.0,1.0,1.0,2.7111499e-18
2.7777778,1.4004957,1.4004957,0.0,1.0,1.0,2.7323018e-18
2.8888889,1.4004891,1.4004891,0.0,1.0,1.0,2.7323018e-18
3.0,1.4004825,1.4004825,0.0,1.0,1.0,2.7323018e-18
3.1111111,1.4004759,1.4004759,0.0,1.0,1.0,2.7323018e-18
3.2222222,1.4004693,1.4004692,-9.999999983634211e-05,1.0,1.0,2.7323018e-18
3.3333333,1.4004626,1.4004626,0.0,1.0,1.0,2.7323018e-18
3.4444444,1.400456,1.400456,0.0,1.0,1.0,2.7323018e-18
3.5555556,1.4004494,1.4004494,0.0,1.0,1.0,2.7323018e-18
3.6666667,1.4004428,1.4004427,-0.00010000000005838672,1.0,1.0,2.7323018e-18
3.7777778,1.4004361,1.4004361,0.0,1.0,1.0,2.7323018e-18
3.8888889,1.4004498,1.4004498,0.0,1.0,1.0,2.7323018e-18
4.0,1.4004917,1.4004917,0.0,1.0,1.0,2.7455218e-18
