cell_id,supporting_electrolyte,pair_index,window_mAh_cm2,Q_mAh_cm2,dVdQ_V_per_mAh_cm2,dVdQ_mV_per_mAh_cm2
G4_pristine_cell,NH4Br,20,5.25,1.25,-0.000973236464365,-0.973236464365
G4_pristine_cell,NH4Br,20,5.25,1.5,-0.000851743934963,-0.851743934963
G4_pristine_cell,NH4Br,20,5.25,1.75,-0.000734797436162,-0.734797436162
G4_pristine_cell,NH4Br,20,5.25,2,-0.000622396967961,-0.622396967961
G4_pristine_cell,NH4Br,20,5.25,2.25,-0.00051454253036,-0.51454253036
G4_pristine_cell,NH4Br,20,5.25,2.5,-0.00041123412336,-0.41123412336
G4_pristine_cell,NH4Br,20,5.25,2.75,-0.000312471746961,-0.312471746961
G4_pristine_cell,NH4Br,20,5.25,3,-0.000218255401162,-0.218255401162
G4_pristine_cell,NH4Br,20,5.25,3.25,-0.000128585085964,-0.128585085964
G4_pristine_cell,NH4Br,20,5.25,3.5,-4.34608013658e-05,-0.0434608013658
G4_pristine_cell,NH4Br,20,5.25,3.75,3.71174526315e-05,0.0371174526315
G4_pristine_cell,NH4Br,20,5.25,4,0.000134637439737,0.134637439737
G4_pristine_cell,NH4Br,20,5.25,4.25,0.000223519942587,0.223519942587
G4_pristine_cell,NH4Br,20,5.25,4.5,0.000298081691087,0.298081691087
G4_pristine_cell,NH4Br,20,5.25,4.75,0.000356231089321,0.356231089321
G4_pristine_cell,NH4Br,20,5.25,5,0.000400037354933,0.400037354933
G4_pristine_cell,NH4Br,20,5.25,5.25,0.000422840319309,0.422840319309
G4_pristine_cell,NH4Br,20,5.25,5.5,0.000419423928738,0.419423928738
G4_pristine_cell,NH4Br,20,5.25,5.75,0.000397540723697,0.397540723697
G4_pristine_cell,NH4Br,20,5.25,6,0.000367139117968,0.367139117968
G4_pristine_cell,NH4Br,20,5.25,6.25,0.000340837681444,0.340837681444
G4_pristine_cell,NH4Br,20,5.25,6.5,0.000325380108503,0.325380108503
G4_pristine_cell,NH4Br,20,5.25,6.75,0.000313228193058,0.313228193058
G4_pristine_cell,NH4Br,20,5.25,7,0.000306313910768,0.306313910768
G4_pristine_cell,NH4Br,20,5.25,7.25,0.000306468743123,0.306468743123
G4_pristine_cell,NH4Br,20,5.25,7.5,0.000315518534642,0.315518534642
G4_pristine_cell,NH4Br,20,5.25,7.75,0.000335378349191,0.335378349191
G4_pristine_cell,NH4Br,20,5.25,8,0.000361002894431,0.361002894431
G4_pristine_cell,NH4Br,20,5.25,8.25,0.000389625813092,0.389625813092
G4_pristine_cell,NH4Br,20,5.25,8.5,0.000417867304016,0.417867304016
G4_pristine_cell,NH4Br,20,5.25,8.75,0.000441587096819,0.441587096819
G4_pristine_cell,NH4Br,20,5.25,9,0.000455884451439,0.455884451439
G4_pristine_cell,NH4Br,20,5.25,9.25,0.000461551913379,0.461551913379
G4_pristine_cell,NH4Br,20,5.25,9.5,0.000460166508815,0.460166508815
G4_pristine_cell,NH4Br,20,5.25,9.75,0.000454579986008,0.454579986008
G4_pristine_cell,NH4Br,20,5.25,10,0.000448262500834,0.448262500834
G4_pristine_cell,NH4Br,20,5.25,10.25,0.000445492330256,0.445492330256
G4_pristine_cell,NH4Br,20,5.25,10.5,0.000448543739117,0.448543739117
G4_pristine_cell,NH4Br,20,5.25,10.75,0.000455202291768,0.455202291768
G4_pristine_cell,NH4Br,20,5.25,11,0.000464123192184,0.464123192184
G4_pristine_cell,NH4Br,20,5.25,11.25,0.000473803108053,0.473803108053
G4_pristine_cell,NH4Br,20,5.25,11.5,0.000482992196203,0.482992196203
G4_pristine_cell,NH4Br,20,5.25,11.75,0.000490694102612,0.490694102612
G4_pristine_cell,NH4Br,20,5.25,12,0.000493335591822,0.493335591822
G4_pristine_cell,NH4Br,20,5.25,12.25,0.000490555912809,0.490555912809
G4_pristine_cell,NH4Br,20,5.25,12.5,0.000485996025457,0.485996025457
G4_pristine_cell,NH4Br,20,5.25,12.75,0.00048234733154,0.48234733154
G4_pristine_cell,NH4Br,20,5.25,13,0.000481493961481,0.481493961481
G4_pristine_cell,NH4Br,20,5.25,13.25,0.000485695210142,0.485695210142
G4_pristine_cell,NH4Br,20,5.25,13.5,0.000498885748112,0.498885748112
G4_pristine_cell,NH4Br,20,5.25,13.75,0.000517063412894,0.517063412894
G4_pristine_cell,NH4Br,20,5.25,14,0.000537240005914,0.537240005914
G4_pristine_cell,NH4Br,20,5.25,14.25,0.000557441292225,0.557441292225
G4_pristine_cell,NH4Br,20,5.25,14.5,0.000575833228568,0.575833228568
G4_pristine_cell,NH4Br,20,5.25,14.75,0.000587540835383,0.587540835383
G4_pristine_cell,NH4Br,20,5.25,15,0.000592032165384,0.592032165384
G4_pristine_cell,NH4Br,20,5.25,15.25,0.000589314078732,0.589314078732
G4_pristine_cell,NH4Br,20,5.25,15.5,0.000579393435589,0.579393435589
G4_pristine_cell,NH4Br,20,5.25,15.75,0.000562277096118,0.562277096118
G4_pristine_cell,NH4Br,20,5.25,16,0.000542175137395,0.542175137395
G4_pristine_cell,NH4Br,20,5.25,16.25,0.000521816664265,0.521816664265
G4_pristine_cell,NH4Br,20,5.25,16.5,0.000502928900982,0.502928900982
G4_pristine_cell,NH4Br,20,5.25,16.75,0.00048825303405,0.48825303405
G4_pristine_cell,NH4Br,20,5.25,17,0.000481544211932,0.481544211932
G4_pristine_cell,NH4Br,20,5.25,17.25,0.000479746192186,0.479746192186
G4_pristine_cell,NH4Br,20,5.25,17.5,0.000472286910948,0.472286910948
G4_pristine_cell,NH4Br,20,5.25,17.75,0.000466193781704,0.466193781704
G4_pristine_cell,NH4Br,20,5.25,18,0.000465209380412,0.465209380412
G4_pristine_cell,NH4Br,20,5.25,18.25,0.000469933729157,0.469933729157
G4_pristine_cell,NH4Br,20,5.25,18.5,0.000480207699467,0.480207699467
G4_pristine_cell,NH4Br,20,5.25,18.75,0.00050977340178,0.509773401781
G4_pristine_cell,NH4Br,20,5.25,19,0.000552898299765,0.552898299765
G4_pristine_cell,NH4Br,20,5.25,19.25,0.000601630551918,0.601630551918
G4_pristine_cell,NH4Br,20,5.25,19.5,0.000649792743959,0.649792743959
G4_pristine_cell,NH4Br,20,5.25,19.75,0.000692981888532,0.692981888532
G4_pristine_cell,NH4Br,20,5.25,20,0.000724551832953,0.724551832953
G4_pristine_cell,NH4Br,20,5.25,20.25,0.000740774313052,0.740774313052
G4_pristine_cell,NH4Br,20,5.25,20.5,0.000740883134096,0.740883134096
G4_pristine_cell,NH4Br,20,5.25,20.75,0.000724872548371,0.724872548371
G4_pristine_cell,NH4Br,20,5.25,21,0.000693497256213,0.693497256213
G4_pristine_cell,NH4Br,20,5.25,21.25,0.000649720444587,0.649720444588
G4_pristine_cell,NH4Br,20,5.25,21.5,0.000596328709549,0.596328709549
G4_pristine_cell,NH4Br,20,5.25,21.75,0.000542106543797,0.542106543797
G4_pristine_cell,NH4Br,20,5.25,22,0.000496351111871,0.496351111871
G4_pristine_cell,NH4Br,20,5.25,22.25,0.000469014536175,0.469014536175
G4_pristine_cell,NH4Br,20,5.25,22.5,0.000467125161115,0.467125161115
G4_pristine_cell,NH4Br,20,5.25,22.75,0.000481194990553,0.481194990553
G4_pristine_cell,NH4Br,20,5.25,23,0.000508301907518,0.508301907518
G4_pristine_cell,NH4Br,20,5.25,23.25,0.00054328573011,0.54328573011
G4_pristine_cell,NH4Br,20,5.25,23.5,0.000578605954833,0.578605954833
G4_pristine_cell,NH4Br,20,5.25,23.75,0.00060419947027,0.60419947027
G4_pristine_cell,NH4Br,20,5.25,24,0.000628028805394,0.628028805394
G4_pristine_cell,NH4Br,20,5.25,24.25,0.000651846455488,0.651846455487
G4_pristine_cell,NH4Br,20,5.25,24.5,0.000671091160896,0.671091160896
G4_pristine_cell,NH4Br,20,5.25,24.75,0.000682976081067,0.682976081067
G4_pristine_cell,NH4Br,20,5.25,25,0.000686488796322,0.686488796322
G4_pristine_cell,NH4Br,20,5.25,25.25,0.000679931463819,0.679931463819
G4_pristine_cell,NH4Br,20,5.25,25.5,0.000657040978933,0.657040978933
G4_pristine_cell,NH4Br,20,5.25,25.75,0.000625267439591,0.625267439591
G4_pristine_cell,NH4Br,20,5.25,26,0.000591554808603,0.591554808603
G4_pristine_cell,NH4Br,20,5.25,26.25,0.000562483199098,0.562483199098
G4_pristine_cell,NH4Br,20,5.25,26.5,0.000543424383783,0.543424383783
G4_pristine_cell,NH4Br,20,5.25,26.75,0.000538736077435,0.538736077435
G4_pristine_cell,NH4Br,20,5.25,27,0.000546677883895,0.546677883895
G4_pristine_cell,NH4Br,20,5.25,27.25,0.000562641644522,0.562641644522
G4_pristine_cell,NH4Br,20,5.25,27.5,0.000582685569154,0.582685569154
G4_pristine_cell,NH4Br,20,5.25,27.75,0.000603391949788,0.603391949788
G4_pristine_cell,NH4Br,20,5.25,28,0.000619600702025,0.619600702025
G4_pristine_cell,NH4Br,20,5.25,28.25,0.000627316209431,0.627316209431
G4_pristine_cell,NH4Br,20,5.25,28.5,0.000627890305655,0.627890305655
G4_pristine_cell,NH4Br,20,5.25,28.75,0.000621407395782,0.621407395782
G4_pristine_cell,NH4Br,20,5.25,29,0.000606684458115,0.606684458115
G4_pristine_cell,NH4Br,20,5.25,29.25,0.000586228055571,0.586228055571
G4_pristine_cell,NH4Br,20,5.25,29.5,0.000565904529354,0.565904529354
G4_pristine_cell,NH4Br,20,5.25,29.75,0.000549047199609,0.549047199609
G4_pristine_cell,NH4Br,20,5.25,30,0.000539492396139,0.539492396139
G4_pristine_cell,NH4Br,20,5.25,30.25,0.00054172174117,0.54172174117
G4_pristine_cell,NH4Br,20,5.25,30.5,0.00055953789144,0.55953789144
G4_pristine_cell,NH4Br,20,5.25,30.75,0.000583446996772,0.583446996773
G4_pristine_cell,NH4Br,20,5.25,31,0.000611024988313,0.611024988313
G4_pristine_cell,NH4Br,20,5.25,31.25,0.000639372866514,0.639372866514
G4_pristine_cell,NH4Br,20,5.25,31.5,0.000664070664813,0.664070664813
G4_pristine_cell,NH4Br,20,5.25,31.75,0.000679177449637,0.679177449637
G4_pristine_cell,NH4Br,20,5.25,32,0.000689126717243,0.689126717243
G4_pristine_cell,NH4Br,20,5.25,32.25,0.000696721713527,0.696721713527
G4_pristine_cell,NH4Br,20,5.25,32.5,0.000701893011812,0.701893011812
G4_pristine_cell,NH4Br,20,5.25,32.75,0.000705878862073,0.705878862073
G4_pristine_cell,NH4Br,20,5.25,33,0.000711367477263,0.711367477263
G4_pristine_cell,NH4Br,20,5.25,33.25,0.0007180623421,0.7180623421
G4_pristine_cell,NH4Br,20,5.25,33.5,0.000722270817888,0.722270817888
G4_pristine_cell,NH4Br,20,5.25,33.75,0.000723623816944,0.723623816944
G4_pristine_cell,NH4Br,20,5.25,34,0.00072200574316,0.72200574316
G4_pristine_cell,NH4Br,20,5.25,34.25,0.000717554491109,0.717554491109
G4_pristine_cell,NH4Br,20,5.25,34.5,0.000710661454138,0.710661454138
G4_pristine_cell,NH4Br,20,5.25,34.75,0.00070078446289,0.70078446289
G4_pristine_cell,NH4Br,20,5.25,35,0.000689323224885,0.689323224885
G4_pristine_cell,NH4Br,20,5.25,35.25,0.000678661881656,0.678661881656
G4_pristine_cell,NH4Br,20,5.25,35.5,0.000671043749096,0.671043749096
G4_pristine_cell,NH4Br,20,5.25,35.75,0.000668618746638,0.668618746638
G4_pristine_cell,NH4Br,20,5.25,36,0.000673167653134,0.673167653134
G4_pristine_cell,NH4Br,20,5.25,36.25,0.000686420011358,0.686420011358
G4_pristine_cell,NH4Br,20,5.25,36.5,0.000702082396834,0.702082396834
G4_pristine_cell,NH4Br,20,5.25,36.75,0.000714997111797,0.714997111797
G4_pristine_cell,NH4Br,20,5.25,37,0.000720952471869,0.720952471869
G4_pristine_cell,NH4Br,20,5.25,37.25,0.000717892011368,0.717892011368
G4_pristine_cell,NH4Br,20,5.25,37.5,0.000701028672573,0.701028672573
G4_pristine_cell,NH4Br,20,5.25,37.75,0.000675123691569,0.675123691569
G4_pristine_cell,NH4Br,20,5.25,38,0.000644472138421,0.644472138421
G4_pristine_cell,NH4Br,20,5.25,38.25,0.000612862127789,0.612862127789
G4_pristine_cell,NH4Br,20,5.25,38.5,0.00058357481839,0.58357481839
G4_pristine_cell,NH4Br,20,5.25,38.75,0.000559384411876,0.559384411876
G4_pristine_cell,NH4Br,20,5.25,39,0.000542558210145,0.542558210145
G4_pristine_cell,NH4Br,20,5.25,39.25,0.000534856607774,0.534856607774
G4_pristine_cell,NH4Br,20,5.25,39.5,0.000537533019966,0.537533019966
G4_pristine_cell,NH4Br,20,5.25,39.75,0.000551333883438,0.551333883438
G4_pristine_cell,NH4Br,20,5.25,40,0.000573409195769,0.573409195769
G4_pristine_cell,NH4Br,20,5.25,40.25,0.00059985860243,0.59985860243
G4_pristine_cell,NH4Br,20,5.25,40.5,0.000628390307358,0.628390307358
G4_pristine_cell,NH4Br,20,5.25,40.75,0.000655191594905,0.655191594905
G4_pristine_cell,NH4Br,20,5.25,41,0.000674928829838,0.674928829838
G4_pristine_cell,NH4Br,20,5.25,41.25,0.000685835762491,0.685835762491
G4_pristine_cell,NH4Br,20,5.25,41.5,0.000689476557011,0.689476557011
G4_pristine_cell,NH4Br,20,5.25,41.75,0.00068961888046,0.68961888046
G4_pristine_cell,NH4Br,20,5.25,42,0.000690274372388,0.690274372388
G4_pristine_cell,NH4Br,20,5.25,42.25,0.00069570225589,0.69570225589
G4_pristine_cell,NH4Br,20,5.25,42.5,0.000710693906703,0.710693906703
G4_pristine_cell,NH4Br,20,5.25,42.75,0.000732915253551,0.732915253551
G4_pristine_cell,NH4Br,20,5.25,43,0.000760660313589,0.760660313589
G4_pristine_cell,NH4Br,20,5.25,43.25,0.000788977240349,0.788977240349
G4_pristine_cell,NH4Br,20,5.25,43.5,0.000813928163848,0.813928163847
G4_pristine_cell,NH4Br,20,5.25,43.75,0.000832589192358,0.832589192358
G4_pristine_cell,NH4Br,20,5.25,44,0.000841159378806,0.841159378806
G4_pristine_cell,NH4Br,20,5.25,44.25,0.00083537299418,0.83537299418
G4_pristine_cell,NH4Br,20,5.25,44.5,0.000820981171428,0.820981171428
G4_pristine_cell,NH4Br,20,5.25,44.75,0.000803093372944,0.803093372945
G4_pristine_cell,NH4Br,20,5.25,45,0.000786367102808,0.786367102808
G4_pristine_cell,NH4Br,20,5.25,45.25,0.000774052309265,0.774052309265
G4_pristine_cell,NH4Br,20,5.25,45.5,0.000773542208004,0.773542208004
