R_theta_end,theta_end,effective_coefficient_V,effective_coefficient_mV_per_decade,fixed_selected_voltage_contribution_mV
0.014,0.986,0.0165887886814,38.1970975287,70.8125282268
0.015465,0.984535,0.0169847783798,39.1088975052,70.8125282268
0.01693,0.98307,0.0173616795455,39.9767445109,70.8125282268
0.018395,0.981605,0.0177222881204,40.8070764397,70.8125282268
0.01986,0.98014,0.0180688103556,41.6049733729,70.8125282268
0.021325,0.978675,0.018403021099,42.3745220485,70.8125282268
0.02279,0.97721,0.0187263717398,43.119064414,70.8125282268
0.024255,0.975745,0.0190400660042,43.841372151,70.8125282268
0.02572,0.97428,0.0193451145239,44.543772325,70.8125282268
0.027185,0.972815,0.0196423749847,45.2282398307,70.8125282268
0.02865,0.97135,0.0199325822311,45.8964667102,70.8125282268
0.030115,0.969885,0.0202163712212,46.5499150084,70.8125282268
0.03158,0.96842,0.0204942947925,47.1898576806,70.8125282268
0.033045,0.966955,0.0207668375966,47.8174106785,70.8125282268
0.03451,0.96549,0.0210344271606,48.4335584196,70.8125282268
0.035975,0.964025,0.0212974427646,49.0391742286,70.8125282268
0.03744,0.96256,0.0215562226361,49.6350369032,70.8125282268
0.038905,0.961095,0.0218110698347,50.2218442636,70.8125282268
0.04037,0.95963,0.0220622571041,50.8002243257,70.8125282268
0.041835,0.958165,0.022310030905,51.3707445861,70.8125282268
0.0433,0.9567,0.0225546147895,51.9339197925,70.8125282268
0.044765,0.955235,0.0227962122435,52.4902184885,70.8125282268
0.04623,0.95377,0.023035009096,53.0400685615,70.8125282268
0.047695,0.952305,0.0232711755723,53.5838619692,70.8125282268
0.04916,0.95084,0.0235048680529,54.1219587913,70.8125282268
0.050625,0.949375,0.0237362305883,54.6546907166,70.8125282268
0.05209,0.94791,0.0239653962097,55.1823640602,70.8125282268
0.053555,0.946445,0.0241924880669,55.7052623852,70.8125282268
0.05502,0.94498,0.0244176204216,56.2236487891,70.8125282268
0.056485,0.943515,0.0246408995174,56.7377679068,70.8125282268
0.05795,0.94205,0.0248624243443,57.2478476709,70.8125282268
0.059415,0.940585,0.0250822873128,57.7541008647,70.8125282268
0.06088,0.93912,0.0253005748508,58.2567264956,70.8125282268
0.062345,0.937655,0.0255173679334,58.7559110159,70.8125282268
0.06381,0.93619,0.0257327425544,59.2518294077,70.8125282268
0.065275,0.934725,0.0259467701476,59.7446461532,70.8125282268
0.06674,0.93326,0.0261595179635,60.2345161026,70.8125282268
0.068205,0.931795,0.0263710494077,60.7215852527,70.8125282268
0.06967,0.93033,0.0265814243455,61.2059914486,70.8125282268
0.071135,0.928865,0.0267906993764,61.6878650151,70.8125282268
0.0726,0.9274,0.026998928082,62.1673293284,70.8125282268
0.074065,0.925935,0.0272061612508,62.6445013336,70.8125282268
0.07553,0.92447,0.0274124470824,63.1194920145,70.8125282268
0.076995,0.923005,0.027617831373,63.5924068202,70.8125282268
0.07846,0.92154,0.0278223576841,64.0633460552,70.8125282268
0.079925,0.920075,0.0280260674971,64.532405234,70.8125282268
0.08139,0.91861,0.0282290003544,64.9996754062,70.8125282268
0.082855,0.917145,0.0284311939885,65.465243454,70.8125282268
0.08432,0.91568,0.0286326844406,65.9291923653,70.8125282268
0.085785,0.914215,0.0288335061695,66.3916014846,70.8125282268
0.08725,0.91275,0.0290336921519,66.8525467435,70.8125282268
0.088715,0.911285,0.0292332739749,67.312100874,70.8125282268
0.09018,0.90982,0.0294322819211,67.7703336043,70.8125282268
0.091645,0.908355,0.0296307450474,68.2273118405,70.8125282268
0.09311,0.90689,0.0298286912583,68.6830998348,70.8125282268
0.094575,0.905425,0.0300261473727,69.1377593404,70.8125282268
0.09604,0.90396,0.0302231391874,69.5913497564,70.8125282268
0.097505,0.902495,0.0304196915349,70.0439282618,70.8125282268
0.09897,0.90103,0.0306158283376,70.4955499399,70.8125282268
0.100435,0.899565,0.0308115726582,70.9462678946,70.8125282268
0.1019,0.8981,0.0310069467467,71.3961333582,70.8125282268
0.103365,0.896635,0.0312019720842,71.845195793,70.8125282268
0.10483,0.89517,0.0313966694237,72.2935029848,70.8125282268
0.106295,0.893705,0.0315910588288,72.7411011311,70.8125282268
0.10776,0.89224,0.0317851597089,73.1880349241,70.8125282268
0.109225,0.890775,0.0319789908531,73.6343476273,70.8125282268
0.11069,0.88931,0.0321725704616,74.0800811482,70.8125282268
0.112155,0.887845,0.0323659161751,74.5252761059,70.8125282268
0.11362,0.88638,0.0325590451026,74.9699718953,70.8125282268
0.115085,0.884915,0.0327519738473,75.414206747,70.8125282268
0.11655,0.88345,0.0329447185314,75.8580177833,70.8125282268
0.118015,0.881985,0.0331372948187,76.3014410717,70.8125282268
0.11948,0.88052,0.0333297179367,76.7445116749,70.8125282268
0.120945,0.879055,0.0335220026971,77.1872636977,70.8125282268
0.12241,0.87759,0.0337141635149,77.6297303322,70.8125282268
0.123875,0.876125,0.0339062144267,78.0719438989,70.8125282268
0.12534,0.87466,0.0340981691083,78.5139358873,70.8125282268
0.126805,0.873195,0.0342900408907,78.955736993,70.8125282268
0.12827,0.87173,0.0344818427754,79.3973771536,70.8125282268
0.129735,0.870265,0.0346735874496,79.838885582,70.8125282268
0.1312,0.8688,0.0348652872995,80.2802907988,70.8125282268
