Q_mAh_cm2,observed_full_cell_voltage_V,in_registered_fit_interval,reduced_fit_voltage_V,fit_minus_observed_mV
0,1.3501,False,,
1.33616666667,1.3492,False,,
2.67233333333,1.3488,True,1.33816597418,-10.6340258215
4.00849930556,1.3492,True,1.33947795665,-9.72204334623
5.34466388889,1.3498,True,1.34078993777,-9.01006223471
6.68083055556,1.3501,True,1.34210192092,-7.99807907757
8.01699722222,1.3507,True,1.34341390408,-7.28609592042
9.35316458333,1.3513,True,1.34472588792,-6.5741120814
10.68933125,1.3519,True,1.34603787108,-5.86212892425
12.0254965278,1.3526,True,1.34734985287,-5.25014713086
13.3616631944,1.3532,True,1.34866183603,-4.53816397371
14.6978243056,1.3541,True,1.34997381373,-4.12618627157
16.0339923611,1.3547,True,1.35128579825,-3.41420175068
17.3701576389,1.3554,True,1.35259778004,-2.80221995728
18.7063256944,1.356,True,1.35390976456,-2.09023543638
20.0424909722,1.3572,True,1.35522174636,-1.97825364299
21.3786604167,1.3578,True,1.35653373224,-1.26626775834
22.7148215278,1.3585,True,1.35784570994,-0.654290056201
24.0509854167,1.3594,True,1.35915769037,-0.242309626557
25.3871548611,1.3603,True,1.36046967626,0.169676258091
26.7233159722,1.3609,True,1.36178165396,0.881653960232
28.0594770833,1.3619,True,1.36309363166,1.19363166237
29.3956465278,1.3625,True,1.36440561755,1.90561754702
30.7318104167,1.3634,True,1.36571759798,2.31759797666
32.0679798611,1.3643,True,1.36702958386,2.72958386131
33.4041409722,1.3653,True,1.36834156156,3.04156156345
34.7403048611,1.3662,True,1.36965354199,3.4535419931
36.0764715278,1.3671,True,1.37096552515,3.86552515024
37.4126381944,1.3681,True,1.37227750831,4.17750830739
38.7487965278,1.3687,True,1.37358948328,4.88948328203
40.08496875,1.3696,True,1.37490147189,5.30147189418
41.4211326389,1.3705,True,1.37621345232,5.71345232382
42.7572993056,1.3715,True,1.37752543548,6.02543548097
44.0934631944,1.3727,True,1.37883741591,6.13741591061
45.4296298611,1.3736,True,1.38014939907,6.54939906776
46.7657965278,1.3749,True,1.38146138222,6.5613822249
48.1019631944,1.3758,True,1.38277336538,6.97336538205
49.4381354167,1.3771,True,1.38408535399,6.9853539942
50.7742965278,1.378,True,1.3853973317,7.39733169634
52.1104631944,1.3792,True,1.38670931485,7.50931485348
53.4466243056,1.3805,True,1.38802129256,7.52129255562
54.7827909722,1.3817,True,1.38933327571,7.63327571277
56.1189520833,1.3829,True,1.39064525341,7.74525341491
57.45511875,1.3842,True,1.39195723657,7.75723657206
58.7912798611,1.3854,True,1.39326921427,7.8692142742
60.1274465278,1.3867,True,1.39458119743,7.88119743134
61.4636131944,1.3885,True,1.39589318059,7.39318058849
62.7997798611,1.3901,True,1.39720516375,7.10516374564
64.1359465278,1.3913,True,1.39851716351,7.21716351097
65.4721076389,1.3932,True,1.39982917043,6.62917042502
66.8082743056,1.3947,True,1.40114118678,6.44118677509
68.1444354167,1.3969,True,1.40245320202,5.55320201957
69.4806131944,1.3988,True,1.40376523807,4.9652380739
70.8167743056,1.4009,True,1.40507726224,4.17726223895
72.1529298611,1.4034,True,1.40638928543,2.98928543436
73.4891076389,1.4056,True,1.40770133494,2.10133493528
74.8252631944,1.4081,True,1.40901336709,0.91336709321
76.1614298611,1.4105,True,1.41032894118,-0.171058821336
77.4975965278,1.414,True,1.41164732759,-2.35267240814
78.8337465278,1.4171,True,1.41297206441,-4.12793559226
80.16991875,1.4208,True,1.41431372946,-6.48627053927
81.50606875,1.4248,True,1.4156844578,-9.11554219996
82.8422409722,1.4288,True,1.41711314169,-11.6868583092
84.1784076389,1.422,True,1.41880667778,-3.19332222241
85.51456875,1.4353,True,1.42140614035,-13.8938596473
86.8507243056,1.4378,True,1.4251493844,-12.650615599
88.1868854167,1.4456,True,1.43008606885,-15.5139311476
89.5230576389,1.4518,True,1.43626809182,-15.5319081808
90.8592243056,1.457,True,1.44374091038,-13.2590896221
92.1953965278,1.4688,True,1.45254937015,-16.2506298549
93.5315520833,1.4741,True,1.46274059045,-11.3594095512
94.86771875,1.4691,True,1.4743648499,5.26484990269
96.2038854167,1.4853,True,1.48747555355,2.17555355036
97.5400520833,1.4862,True,1.50212919405,15.9291940532
98.8762076389,1.4357,False,,
100.212374306,1.4347,False,,
101.548540972,1.4242,False,,
102.88471875,1.426,False,,
104.220874306,1.422,False,,
105.557040972,1.4502,False,,
106.893207639,1.4081,False,,
108.229374306,1.4527,False,,
109.565540972,1.4124,False,,
110.901707639,1.4332,False,,
112.237874306,1.4329,False,,
113.574040972,1.4319,False,,
114.910207639,1.427,False,,
116.246363194,1.4304,False,,
117.582529861,1.4335,False,,
118.918696528,1.4046,False,,
