display_sample,display_condition,FileName,pair_index,direction,segment_capacity_mAh,voltage_v,figure
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,0.0,1.3501,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,5.3446666666666705,1.3492,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,10.68933333333337,1.3488,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,16.03399722222227,1.3492,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,21.37865555555557,1.3498,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,26.72332222222227,1.3501,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,32.06798888888887,1.3507,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,37.41265833333337,1.3513,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,42.75732499999997,1.3519,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,48.10198611111107,1.3526,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,53.44665277777777,1.3532,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,58.79129722222227,1.3541,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,64.13596944444447,1.3547,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,69.48063055555556,1.3554,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,74.82530277777778,1.356,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,80.16996388888887,1.3572,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,85.51464166666668,1.3578,01_baseline_standard_controls
Pristine,Capacity limit,pristine_1M_ZnI2_4M_NH4Br_cccc_127.0.0.1-BTS82-56-5-4-2818581087(1).ndax,20,charge,90.85928611111106,1.3585,01_baseline_standard_controls
