figure,geometry,display_index,xyz_atom_index,element,x_A,y_A,z_A,display_crop_only,coordinate_modified
S7,C-OH,0,57,C,6.64878,9.73,12,True,False
S7,C-OH,1,58,C,6.64878,11.15,12,True,False
S7,C-OH,2,59,C,5.419024,11.86,12,True,False
S7,C-OH,3,60,C,5.419024,13.28,12,True,False
S7,C-OH,4,61,C,6.64878,13.99,12,True,False
S7,C-OH,5,62,C,6.64878,15.41,12,True,False
S7,C-OH,6,63,C,5.419024,16.12,12,True,False
S7,C-OH,7,80,C,7.878536,9.02,12,True,False
S7,C-OH,8,81,C,9.108293,9.73,12,True,False
S7,C-OH,9,82,C,9.108293,11.15,12,True,False
S7,C-OH,10,83,C,7.878536,11.86,12,True,False
S7,C-OH,11,84,C,7.878536,13.28,12,True,False
S7,C-OH,12,85,C,9.108293,13.99,12,True,False
S7,C-OH,13,86,C,9.108293,15.41,12,True,False
S7,C-OH,14,87,C,7.878536,16.12,12,True,False
S7,C-OH,15,88,C,7.878536,17.54,12,True,False
S7,C-OH,16,89,C,9.108293,18.25,12,True,False
S7,C-OH,17,103,C,10.338049,7.6,12,True,False
S7,C-OH,18,104,C,10.338049,9.02,12,True,False
S7,C-OH,19,105,C,11.567805,9.73,12,True,False
S7,C-OH,20,106,C,11.567805,11.15,12,True,False
S7,C-OH,21,107,C,10.338049,11.86,12,True,False
S7,C-OH,22,108,C,10.338049,13.28,12,True,False
S7,C-OH,23,109,C,11.567805,13.99,12,True,False
S7,C-OH,24,110,C,11.567805,15.41,12,True,False
S7,C-OH,25,111,C,10.338049,16.12,12,True,False
S7,C-OH,26,112,C,10.338049,17.54,12,True,False
S7,C-OH,27,113,C,11.567805,18.25,12,True,False
S7,C-OH,28,128,C,12.797561,9.02,12,True,False
S7,C-OH,29,129,C,14.027317,9.73,12,True,False
S7,C-OH,30,130,C,14.027317,11.15,12,True,False
S7,C-OH,31,131,C,12.797561,11.86,12,True,False
S7,C-OH,32,132,C,12.797561,13.28,12,True,False
S7,C-OH,33,133,C,14.027317,13.99,12,True,False
S7,C-OH,34,134,C,14.027317,15.41,12,True,False
S7,C-OH,35,135,C,12.797561,16.12,12,True,False
S7,C-OH,36,136,C,12.797561,17.54,12,True,False
S7,C-OH,37,144,O,7.878536,13.28,13.43,True,False
S7,C-OH,38,145,H,7.878536,13.28,14.39,True,False
S7,C-OH,39,146,H,7.8228268425,13.2476153698,10.4760282295,True,False
S7,C-OH,40,147,I,8.9089077369,12.895471599,16.7863633379,True,False
S7,C-OH,41,148,I,11.3838374366,13.4160243274,15.5051103926,True,False
S7,C=O,0,45,C,6.64878,22.08,12,True,False
S7,C=O,1,46,C,6.64878,23.5,12,True,False
S7,C=O,2,47,C,5.419024,24.21,12,True,False
S7,C=O,3,60,C,7.878536,21.37,12,True,False
S7,C=O,4,61,C,9.108293,22.08,12,True,False
S7,C=O,5,62,C,9.108293,23.5,12,True,False
S7,C=O,6,63,C,7.878536,24.21,12,True,False
S7,C=O,7,75,C,10.338049,19.95,12,True,False
S7,C=O,8,76,C,10.338049,21.37,12,True,False
S7,C=O,9,77,C,11.567805,22.08,12,True,False
S7,C=O,10,78,C,11.567805,23.5,12,True,False
S7,C=O,11,79,C,10.338049,24.21,12,True,False
S7,C=O,12,92,C,12.797561,21.37,12,True,False
S7,C=O,13,93,C,14.027317,22.08,12,True,False
S7,C=O,14,94,C,14.027317,23.5,12,True,False
S7,C=O,15,95,C,12.797561,24.21,12,True,False
S7,C=O,16,111,C,15.257073,24.21,12,True,False
S7,C=O,17,133,H,5.419024,25.3,12,True,False
S7,C=O,18,135,H,7.878536,25.3,12,True,False
S7,C=O,19,138,H,12.797561,25.3,12,True,False
S7,C=O,20,140,H,15.257073,25.3,12,True,False
S7,C=O,21,143,O,10.338049,25.44,12,True,False
S7,C=O,22,144,I,10.3578775955,25.7769147974,14.81999144,True,False
S7,C=O,23,145,I,10.3769416615,25.61640595,17.5712669338,True,False
S7,basal,0,33,C,4.189268,9.73,12,True,False
S7,basal,1,34,C,4.189268,11.15,12,True,False
S7,basal,2,35,C,2.959512,11.86,12,True,False
S7,basal,3,36,C,2.959512,13.28,12,True,False
S7,basal,4,37,C,4.189268,13.99,12,True,False
S7,basal,5,38,C,4.189268,15.41,12,True,False
S7,basal,6,55,C,5.419024,7.6,12,True,False
S7,basal,7,56,C,5.419024,9.02,12,True,False
S7,basal,8,57,C,6.64878,9.73,12,True,False
S7,basal,9,58,C,6.64878,11.15,12,True,False
S7,basal,10,59,C,5.419024,11.86,12,True,False
S7,basal,11,60,C,5.419024,13.28,12,True,False
S7,basal,12,61,C,6.64878,13.99,12,True,False
S7,basal,13,62,C,6.64878,15.41,12,True,False
S7,basal,14,63,C,5.419024,16.12,12,True,False
S7,basal,15,64,C,5.419024,17.54,12,True,False
S7,basal,16,65,C,6.64878,18.25,12,True,False
S7,basal,17,79,C,7.878536,7.6,12,True,False
S7,basal,18,80,C,7.878536,9.02,12,True,False
S7,basal,19,81,C,9.108293,9.73,12,True,False
S7,basal,20,82,C,9.108293,11.15,12,True,False
S7,basal,21,83,C,7.878536,11.86,12,True,False
S7,basal,22,84,C,7.878536,13.28,12,True,False
S7,basal,23,85,C,9.108293,13.99,12,True,False
S7,basal,24,86,C,9.108293,15.41,12,True,False
S7,basal,25,87,C,7.878536,16.12,12,True,False
S7,basal,26,88,C,7.878536,17.54,12,True,False
S7,basal,27,89,C,9.108293,18.25,12,True,False
S7,basal,28,103,C,10.338049,7.6,12,True,False
S7,basal,29,104,C,10.338049,9.02,12,True,False
S7,basal,30,105,C,11.567805,9.73,12,True,False
S7,basal,31,106,C,11.567805,11.15,12,True,False
S7,basal,32,107,C,10.338049,11.86,12,True,False
S7,basal,33,108,C,10.338049,13.28,12,True,False
S7,basal,34,109,C,11.567805,13.99,12,True,False
S7,basal,35,110,C,11.567805,15.41,12,True,False
S7,basal,36,111,C,10.338049,16.12,12,True,False
S7,basal,37,112,C,10.338049,17.54,12,True,False
S7,basal,38,131,C,12.797561,11.86,12,True,False
S7,basal,39,132,C,12.797561,13.28,12,True,False
S7,basal,40,144,I,6.3199610045,12.7839762644,15.6622796978,True,False
S7,basal,41,145,I,9.0999014481,12.7195392563,15.5952152292,True,False
S7,vacancy,0,33,C,4.189268,9.73,12,True,False
