case,target_soc,actual_soc,variant,charge_scale,mode,species,n_molecules,frames,fit_start_ps,fit_end_ps,D_1e-9_m2_s,D_sem_1e-9_m2_s,n_blocks,note,source_file
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,long,Zn2+,24,4001,2510.0,8490.0,0.5195766358876287,0.042703243810367,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_long.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,long,I-,47,4001,2510.0,8490.0,1.117542727542461,0.0783610893540871,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_long.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,long,Br-,94,4001,2510.0,8490.0,1.3868115023806424,0.0306571046562356,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_long.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,long,NH4+,95,4001,2510.0,8490.0,1.5295374672411155,0.0197456961732905,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_long.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,long,I2,1,4001,2510.0,8490.0,1.8498561363925647,0.2319778988780484,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_long.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,long,I3-,1,4001,2510.0,8490.0,0.6071065187690212,0.2657275739316578,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_long.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,long,I2Br-,1,4001,2510.0,8490.0,0.6160090840561705,0.2756352672874172,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_long.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,long,H2O,1112,4001,2510.0,8490.0,2.047272550091032,0.0256120042107739,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_long.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,smoke,Zn2+,24,251,0.6400000017867785,2.1000000026638377,0.6953539194073586,0.0517451706278056,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_smoke.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,smoke,I-,47,251,0.6400000017867785,2.1000000026638377,1.4566370452663775,0.1233050347707428,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_smoke.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,smoke,Br-,94,251,0.6400000017867785,2.1000000026638377,1.6111816615016348,0.082666106544115,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_smoke.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,smoke,NH4+,95,251,0.6400000017867785,2.1000000026638377,1.578560965288221,0.1033130373731076,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_smoke.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,smoke,I2,1,251,0.6400000017867785,2.1000000026638377,0.0248913164134419,0.5585023567766144,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_smoke.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,smoke,I3-,1,251,0.6400000017867785,2.1000000026638377,0.5101715391507375,0.1420255987709687,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_smoke.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,smoke,I2Br-,1,251,0.6400000017867785,2.1000000026638377,0.6589858075719384,0.6146383294207216,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_smoke.csv
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,smoke,H2O,1112,251,0.6400000017867785,2.1000000026638377,2.230371307989196,0.0779273477094535,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q0p8_ecc_smoke.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,long,Zn2+,24,4001,2510.0,8490.0,0.2999589995604788,0.0099025505121604,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_long.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,long,I-,47,4001,2510.0,8490.0,0.6468729808204758,0.0153689090933697,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_long.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,long,Br-,94,4001,2510.0,8490.0,0.6492486835150253,0.0219513263263194,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_long.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,long,NH4+,95,4001,2510.0,8490.0,0.738501122746935,0.0240433502871611,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_long.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,long,I2,1,4001,2510.0,8490.0,1.0690466534140757,0.2043243280999818,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_long.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,long,I3-,1,4001,2510.0,8490.0,0.3834012531549626,0.021088992898886,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_long.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,long,I2Br-,1,4001,2510.0,8490.0,0.0036002088989561,0.1089950446935246,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_long.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,long,H2O,1112,4001,2510.0,8490.0,1.359333250367344,0.0099054983064097,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_long.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,smoke,Zn2+,24,251,0.6400000017867785,2.1000000026638377,0.4822320494810698,0.0733595987914828,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_smoke.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,smoke,I-,47,251,0.6400000017867785,2.1000000026638377,0.8836381556191981,0.1674595464761776,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_smoke.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,smoke,Br-,94,251,0.6400000017867785,2.1000000026638377,1.110509992781315,0.112212980780112,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_smoke.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,smoke,NH4+,95,251,0.6400000017867785,2.1000000026638377,0.9739254846925978,0.1406074578042244,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_smoke.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,smoke,I2,1,251,0.6400000017867785,2.1000000026638377,0.760357216913544,0.6950860147557468,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_smoke.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,smoke,I3-,1,251,0.6400000017867785,2.1000000026638377,0.5978911622036345,0.3538211760862131,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_smoke.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,smoke,I2Br-,1,251,0.6400000017867785,2.1000000026638377,1.2753299778136684,0.4393950971932139,4,short smoke trajectory; not production-grade; finite-box carrier count is small; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_smoke.csv
soc010_q1p0,0.1,0.125,q1p0,1.0,smoke,H2O,1112,251,0.6400000017867785,2.1000000026638377,1.6928377179913623,0.0920028006399441,4,short smoke trajectory; not production-grade; fit window <1 ns,outputs/md_transport_soc_series/results/diffusion_soc010_q1p0_smoke.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,Zn2+,24,4001,2510.0,8490.0,0.5151069233881157,0.0319620378345383,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,I-,44,4001,2510.0,8490.0,1.324389786015082,0.0606852373381775,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,Br-,93,4001,2510.0,8490.0,1.1658146373881733,0.0533304243219109,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,NH4+,95,4001,2510.0,8490.0,1.4560692338945944,0.0109786915715907,4,long trajectory analysis,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,long,I2,1,4001,2510.0,8490.0,0.15234536492355,0.1837004293058812,4,long trajectory analysis; finite-box carrier count is small,outputs/md_transport_soc_series/results/diffusion_soc030_q0p8_ecc_long.csv
