case,target_soc,actual_soc,variant,charge_scale,count_I2,count_I3,count_I2B,count_oxidized_carriers,finite_box_free_i2_fraction,theoretical_free_i2_fraction,formal_net_charge_e,metadata_path,D_Br-_1e-9_m2_s,D_H2O_1e-9_m2_s,D_I-_1e-9_m2_s,D_I2_1e-9_m2_s,D_I2Br-_1e-9_m2_s,D_I3-_1e-9_m2_s,D_NH4+_1e-9_m2_s,D_Zn2+_1e-9_m2_s,D_sem_Br-_1e-9_m2_s,D_sem_H2O_1e-9_m2_s,D_sem_I-_1e-9_m2_s,D_sem_I2_1e-9_m2_s,D_sem_I2Br-_1e-9_m2_s,D_sem_I3-_1e-9_m2_s,D_sem_NH4+_1e-9_m2_s,D_sem_Zn2+_1e-9_m2_s,selected_diffusion_mode,diffusion_production_grade,D_carrier_proxy_1e-9_m2_s,D_carrier_component_I2_1e-9_m2_s,D_carrier_component_I3m_1e-9_m2_s,D_carrier_component_I2Brm_1e-9_m2_s,selected_density_mode,density_g_ml,density_kg_m3,volume_nm3,density_production_grade,density_source_file,selected_viscosity_mode,eta_mPa_s,eta_sem_mPa_s,viscosity_status,viscosity_note,viscosity_production_grade,viscosity_source_file,selected_phase_mode,phase_status,n_carriers,frames_sampled,cutoff_A,phase_trajectory,mean_nearest_neighbor_A,mean_pair_contact_fraction,mean_max_cluster_fraction,phase_note,phase_production_grade,phase_source_file,baseline_D_I2_1e-9_m2_s,baseline_D_H2O_1e-9_m2_s,baseline_D_I-_1e-9_m2_s,baseline_D_Br-_1e-9_m2_s,baseline_D_NH4+_1e-9_m2_s,baseline_D_Zn2+_1e-9_m2_s,D_carrier_ratio_vs_baseline_I2,D_water_ratio_vs_baseline,baseline_eta_mPa_s,eta_ratio_vs_baseline,stokes_einstein_proxy
soc010_q1p0,0.1,0.125,q1p0,1.0,1,1,1,3,0.3333333333333333,0.0006724949562878278,0.0,outputs/md_transport_soc_series/inputs/soc_series/soc010_q1p0/system_metadata.json,0.6492486835150253,1.359333250367344,0.6468729808204758,1.0690466534140757,0.0036002088989561,0.3834012531549626,0.738501122746935,0.2999589995604788,0.0219513263263194,0.0099054983064097,0.0153689090933697,0.2043243280999818,0.1089950446935246,0.021088992898886,0.0240433502871611,0.0099025505121604,long,True,0.48534937182266485,1.0690466534140757,0.3834012531549626,0.0036002088989561,long,1.426374594706259,1426.374594706259,43.96206084043191,True,outputs/md_transport_soc_series/results/density_soc010_q1p0_long.json,long,2.8648824590489714,0.10121041769082746,estimated_block_gk,"Green-Kubo viscosity from pressure tensor autocorrelation. Treat as noisy unless block estimates are stable; compare only as a bounded prior, not validation.",True,outputs/md_transport_soc_series/results/viscosity_soc010_q1p0_long.json,long,ok,3,50,6.0,prod_nojump.xtc,19.16485620744373,0.0,0.33333333333333326,"Single-box carrier-contact diagnostic only; high contact/cluster fraction is a warning for single-phase MD applicability, not a phase-equilibrium proof.",True,outputs/md_transport_soc_series/results/phase_diagnostic_soc010_q1p0_long.json,0.5216666631371102,1.2911045633330709,0.7047704406616108,0.5550688972886073,0.938815436201058,0.275643234877311,0.9303821887025585,1.0528452063232867,2.8222303834827565,1.0151128964580065,0.9444429583867937
soc010_q0p8_ecc,0.1,0.125,q0p8_ecc,0.8,1,1,1,3,0.3333333333333333,0.0006724949562878278,0.0,outputs/md_transport_soc_series/inputs/soc_series/soc010_q0p8_ecc/system_metadata.json,1.3868115023806424,2.047272550091032,1.117542727542461,1.8498561363925647,0.6160090840561705,0.6071065187690212,1.5295374672411155,0.5195766358876287,0.0306571046562356,0.0256120042107739,0.0783610893540871,0.2319778988780484,0.2756352672874172,0.2657275739316578,0.0197456961732905,0.042703243810367,long,True,1.0243239130725856,1.8498561363925647,0.6071065187690212,0.6160090840561705,long,1.3301941658644272,1330.194165864427,47.14642415416917,True,outputs/md_transport_soc_series/results/density_soc010_q0p8_ecc_long.json,long,1.7699754115225785,0.019259626626200812,estimated_block_gk,"Green-Kubo viscosity from pressure tensor autocorrelation. Treat as noisy unless block estimates are stable; compare only as a bounded prior, not validation.",True,outputs/md_transport_soc_series/results/viscosity_soc010_q0p8_ecc_long.json,long,ok,3,50,6.0,prod_nojump.xtc,10.871191095715078,0.06666666666666667,0.3999999999999999,"Single-box carrier-contact diagnostic only; high contact/cluster fraction is a warning for single-phase MD applicability, not a phase-equilibrium proof.",True,outputs/md_transport_soc_series/results/phase_diagnostic_soc010_q0p8_ecc_long.json,0.994883722750231,2.017375462294086,1.5642798326808895,1.4051918647003592,1.679872764408319,0.5365931195782954,1.0295915890964333,1.0148197935167447,1.727643475523637,1.0245027035952028,1.054819366628177
soc030_q1p0,0.3,0.2916666666666667,q1p0,1.0,1,4,2,7,0.14285714285714285,0.0006724949562878278,0.0,outputs/md_transport_soc_series/inputs/soc_series/soc030_q1p0/system_metadata.json,0.6713417224689062,1.2914060569264805,0.7440003904383398,0.2221341225545011,0.4064028772610614,0.9037456937925498,0.828060920554941,0.3065388469288051,0.0500998082846083,0.0194331249257747,0.0425070369118485,0.0711452885812271,0.1275378920311497,0.1259797787515814,0.0411466711284398,0.0247763313842479,long,True,0.6642746646066889,0.2221341225545011,0.9037456937925498,0.4064028772610614,long,1.449403518925415,1449.403518925415,44.42717652409519,True,outputs/md_transport_soc_series/results/density_soc030_q1p0_long.json,long,2.6540765364228314,0.03936923506016784,estimated_block_gk,"Green-Kubo viscosity from pressure tensor autocorrelation. Treat as noisy unless block estimates are stable; compare only as a bounded prior, not validation.",True,outputs/md_transport_soc_series/results/viscosity_soc030_q1p0_long.json,long,ok,7,50,6.0,prod_nojump.xtc,11.710523759905431,0.012380952380952381,0.17999999999999994,"Single-box carrier-contact diagnostic only; high contact/cluster fraction is a warning for single-phase MD applicability, not a phase-equilibrium proof.",True,outputs/md_transport_soc_series/results/phase_diagnostic_soc030_q1p0_long.json,0.5216666631371102,1.2911045633330709,0.7047704406616108,0.5550688972886073,0.938815436201058,0.275643234877311,1.2733699727178023,1.0002335160156441,2.8222303834827565,0.94041810050517,1.1975001709835957
soc030_q0p8_ecc,0.3,0.2916666666666667,q0p8_ecc,0.8,1,4,2,7,0.14285714285714285,0.0006724949562878278,0.0,outputs/md_transport_soc_series/inputs/soc_series/soc030_q0p8_ecc/system_metadata.json,1.1658146373881733,1.996054099964665,1.324389786015082,0.15234536492355,0.8268728392788431,0.7219646610745932,1.4560692338945944,0.5151069233881157,0.0533304243219109,0.0256874314173011,0.0606852373381775,0.1837004293058812,0.0950765747402355,0.1802066789807142,0.0109786915715907,0.0319620378345383,long,True,0.6705642411113727,0.15234536492355,0.7219646610745932,0.8268728392788431,long,1.3568414033213358,1356.8414033213357,47.4616464785043,True,outputs/md_transport_soc_series/results/density_soc030_q0p8_ecc_long.json,long,1.8697597829968209,0.04398394562433726,estimated_block_gk,"Green-Kubo viscosity from pressure tensor autocorrelation. Treat as noisy unless block estimates are stable; compare only as a bounded prior, not validation.",True,outputs/md_transport_soc_series/results/viscosity_soc030_q0p8_ecc_long.json,long,ok,7,50,6.0,prod_nojump.xtc,9.681322649638913,0.042857142857142844,0.2514285714285714,"Single-box carrier-contact diagnostic only; high contact/cluster fraction is a warning for single-phase MD applicability, not a phase-equilibrium proof.",True,outputs/md_transport_soc_series/results/phase_diagnostic_soc030_q0p8_ecc_long.json,0.994883722750231,2.017375462294086,1.5642798326808895,1.4051918647003592,1.679872764408319,0.5365931195782954,0.6740126768359243,0.9894311382645771,1.727643475523637,1.082260205584436,0.7294570981989633
soc050_q1p0,0.5,0.5,q1p0,1.0,1,8,3,12,0.08333333333333333,0.0006724949562878278,0.0,outputs/md_transport_soc_series/inputs/soc_series/soc050_q1p0/system_metadata.json,0.618067839324987,1.3410273815204905,0.6866568844154257,0.5067622519056145,0.7992635299287814,0.4408902986534194,0.8622077387450693,0.3048653060525711,0.0277852016029903,0.0085985138637644,0.0547771334295046,0.2164562506243149,0.0620505242631829,0.0767949597087301,0.0312326372137894,0.0199798734841691,long,True,0.5359729359099428,0.5067622519056145,0.4408902986534194,0.7992635299287814,long,1.479405091219756,1479.405091219756,44.95127642411518,True,outputs/md_transport_soc_series/results/density_soc050_q1p0_long.json,long,2.9309730225979886,0.07923817878897105,estimated_block_gk,"Green-Kubo viscosity from pressure tensor autocorrelation. Treat as noisy unless block estimates are stable; compare only as a bounded prior, not validation.",True,outputs/md_transport_soc_series/results/viscosity_soc050_q1p0_long.json,long,ok,12,50,6.0,prod_nojump.xtc,7.157910757720855,0.02787878787878788,0.17999999999999997,"Single-box carrier-contact diagnostic only; high contact/cluster fraction is a warning for single-phase MD applicability, not a phase-equilibrium proof.",True,outputs/md_transport_soc_series/results/phase_diagnostic_soc050_q1p0_long.json,0.5216666631371102,1.2911045633330709,0.7047704406616108,0.5550688972886073,0.938815436201058,0.275643234877311,1.0274241652452927,1.0386667506298177,2.8222303834827565,1.0385307449567738,1.0670115837187852
soc050_q0p8_ecc,0.5,0.5,q0p8_ecc,0.8,1,8,3,12,0.08333333333333333,0.0006724949562878278,0.0,outputs/md_transport_soc_series/inputs/soc_series/soc050_q0p8_ecc/system_metadata.json,1.1337562022253107,1.9873623612670133,1.3984272776432107,1.6249367410374895,0.6445210072172947,0.8340928190086856,1.4220730210304957,0.6012812063490864,0.0137153803897244,0.0147096038777094,0.0358412867895755,0.2342536463090073,0.1658038373263187,0.0686642651695233,0.0123831591921897,0.0683971539423958,long,True,0.8526035262299048,1.6249367410374895,0.8340928190086856,0.6445210072172947,long,1.3871206387334534,1387.1206387334535,47.946167921415714,True,outputs/md_transport_soc_series/results/density_soc050_q0p8_ecc_long.json,long,1.8063054166702817,0.0519222345155137,estimated_block_gk,"Green-Kubo viscosity from pressure tensor autocorrelation. Treat as noisy unless block estimates are stable; compare only as a bounded prior, not validation.",True,outputs/md_transport_soc_series/results/viscosity_soc050_q0p8_ecc_long.json,long,ok,12,50,6.0,prod_nojump.xtc,8.438446634018343,0.021515151515151515,0.16666666666666663,"Single-box carrier-contact diagnostic only; high contact/cluster fraction is a warning for single-phase MD applicability, not a phase-equilibrium proof.",True,outputs/md_transport_soc_series/results/phase_diagnostic_soc050_q0p8_ecc_long.json,0.994883722750231,2.017375462294086,1.5642798326808895,1.4051918647003592,1.679872764408319,0.5365931195782954,0.8569881150261355,0.9851226994736305,1.727643475523637,1.045531350803037,0.896007941525424
soc070_q1p0,0.7,0.7083333333333334,q1p0,1.0,1,11,5,17,0.058823529411764705,0.0006724949562878278,0.0,outputs/md_transport_soc_series/inputs/soc_series/soc070_q1p0/system_metadata.json,0.5649935073289427,1.3488631051902895,0.7225787733428823,0.8461211737732494,0.8889986410958133,0.5333995541888131,0.8086756827537329,0.2581695569287506,0.0467931813710384,0.0189844738023582,0.0541832846209501,0.1177062539934847,0.0729064809089968,0.0423324822492317,0.011667561322163,0.0174833024033639,long,True,0.656382910313486,0.8461211737732494,0.5333995541888131,0.8889986410958133,long,1.5106992026212758,1510.6992026212758,45.41545934233154,True,outputs/md_transport_soc_series/results/density_soc070_q1p0_long.json,long,2.799676820088139,0.02424293991388761,estimated_block_gk,"Green-Kubo viscosity from pressure tensor autocorrelation. Treat as noisy unless block estimates are stable; compare only as a bounded prior, not validation.",True,outputs/md_transport_soc_series/results/viscosity_soc070_q1p0_long.json,long,ok,17,50,6.0,prod_nojump.xtc,7.325241630579857,0.024558823529411765,0.1623529411764706,"Single-box carrier-contact diagnostic only; high contact/cluster fraction is a warning for single-phase MD applicability, not a phase-equilibrium proof.",True,outputs/md_transport_soc_series/results/phase_diagnostic_soc070_q1p0_long.json,0.5216666631371102,1.2911045633330709,0.7047704406616108,0.5550688972886073,0.938815436201058,0.275643234877311,1.2582420091141,1.0447357584331598,2.8222303834827565,0.9920086030089488,1.2481868977084514
soc070_q0p8_ecc,0.7,0.7083333333333334,q0p8_ecc,0.8,1,11,5,17,0.058823529411764705,0.0006724949562878278,0.0,outputs/md_transport_soc_series/inputs/soc_series/soc070_q0p8_ecc/system_metadata.json,1.07299053869049,1.9738135921475477,1.0454780110920243,0.4807546197660253,0.7244941452947262,0.8829823958168519,1.7018830920561956,0.55142843239266,0.0129428151548136,0.030960215157218,0.0621821644681242,0.3052686672871809,0.2241039149374984,0.0475631801592458,0.0884330604968972,0.0472394809958421,long,True,0.8127077470720604,0.4807546197660253,0.8829823958168519,0.7244941452947262,long,1.4180517416270746,1418.0517416270745,48.387220231753645,True,outputs/md_transport_soc_series/results/density_soc070_q0p8_ecc_long.json,long,1.8010689049864035,0.03634533514257308,estimated_block_gk,"Green-Kubo viscosity from pressure tensor autocorrelation. Treat as noisy unless block estimates are stable; compare only as a bounded prior, not validation.",True,outputs/md_transport_soc_series/results/viscosity_soc070_q0p8_ecc_long.json,long,ok,17,50,6.0,prod_nojump.xtc,7.1881334858322115,0.02338235294117647,0.17294117647058824,"Single-box carrier-contact diagnostic only; high contact/cluster fraction is a warning for single-phase MD applicability, not a phase-equilibrium proof.",True,outputs/md_transport_soc_series/results/phase_diagnostic_soc070_q0p8_ecc_long.json,0.994883722750231,2.017375462294086,1.5642798326808895,1.4051918647003592,1.679872764408319,0.5365931195782954,0.8168871683068972,0.9784066620414816,1.727643475523637,1.042500336732098,0.8516051480320703
soc100_q1p0,1.0,1.0,q1p0,1.0,1,16,7,24,0.041666666666666664,0.0006724949562878278,0.0,outputs/md_transport_soc_series/inputs/soc_series/soc100_q1p0/system_metadata.json,0.6607160282978646,1.3043613048146374,0.7418982830712033,0.2789509751409341,0.4901951285591732,0.4052185131336541,0.7309854011631317,0.2828681213800487,0.0227877179233064,0.0115551810336066,0.0506101594955445,0.1073449118841891,0.0860492007700249,0.0336589373604064,0.023129503491499,0.0117077533099372,long,True,0.4247422118830672,0.2789509751409341,0.4052185131336541,0.4901951285591732,long,1.552467201825235,1552.467201825235,46.09441572665467,True,outputs/md_transport_soc_series/results/density_soc100_q1p0_long.json,long,2.913530492782135,0.042565176227939115,estimated_block_gk,"Green-Kubo viscosity from pressure tensor autocorrelation. Treat as noisy unless block estimates are stable; compare only as a bounded prior, not validation.",True,outputs/md_transport_soc_series/results/viscosity_soc100_q1p0_long.json,long,ok,24,50,6.0,prod_nojump.xtc,6.76047207211747,0.01898550724637681,0.12583333333333335,"Single-box carrier-contact diagnostic only; high contact/cluster fraction is a warning for single-phase MD applicability, not a phase-equilibrium proof.",True,outputs/md_transport_soc_series/results/phase_diagnostic_soc100_q1p0_long.json,0.5216666631371102,1.2911045633330709,0.7047704406616108,0.5550688972886073,0.938815436201058,0.275643234877311,0.8142023286073616,1.0102677520148666,2.8222303834827565,1.0323503388786814,0.8405420498536214
soc100_q0p8_ecc,1.0,1.0,q0p8_ecc,0.8,1,16,7,24,0.041666666666666664,0.0006724949562878278,0.0,outputs/md_transport_soc_series/inputs/soc_series/soc100_q0p8_ecc/system_metadata.json,1.2889814444063663,1.9416437114046523,1.225924120456965,1.2172870798655042,0.8095712111159197,0.714621331297976,1.4906267162775482,0.6206199507136558,0.0588883013999112,0.0272202638307429,0.0904654156838366,0.3416082412075862,0.1724194089097344,0.0505127816452359,0.0523636577176887,0.0364044435867002,long,True,0.76325945243519,1.2172870798655042,0.714621331297976,0.8095712111159197,long,1.4598087386418714,1459.8087386418715,49.02475608738253,True,outputs/md_transport_soc_series/results/density_soc100_q0p8_ecc_long.json,long,1.8224656568732267,0.04392979622935769,estimated_block_gk,"Green-Kubo viscosity from pressure tensor autocorrelation. Treat as noisy unless block estimates are stable; compare only as a bounded prior, not validation.",True,outputs/md_transport_soc_series/results/viscosity_soc100_q0p8_ecc_long.json,long,ok,24,50,6.0,prod_nojump.xtc,7.22456434457372,0.012898550724637681,0.10249999999999998,"Single-box carrier-contact diagnostic only; high contact/cluster fraction is a warning for single-phase MD applicability, not a phase-equilibrium proof.",True,outputs/md_transport_soc_series/results/phase_diagnostic_soc100_q0p8_ecc_long.json,0.994883722750231,2.017375462294086,1.5642798326808895,1.4051918647003592,1.679872764408319,0.5365931195782954,0.7671845814556651,0.9624602597261125,1.727643475523637,1.0548852715811923,0.8092917155617626
